Gene	Name	Type
WBGene00000001	aap-1	protein_coding
WBGene00000002	aat-1	protein_coding
WBGene00000003	aat-2	protein_coding
WBGene00000004	aat-3	protein_coding
WBGene00000005	aat-4	protein_coding
WBGene00000006	aat-5	protein_coding
WBGene00000007	aat-6	protein_coding
WBGene00000008	aat-7	protein_coding
WBGene00000009	aat-8	protein_coding
WBGene00000010	aat-9	protein_coding
WBGene00000012	abf-1	protein_coding
WBGene00000013	abf-2	protein_coding
WBGene00000014	abf-3	protein_coding
WBGene00000015	abf-4	protein_coding
WBGene00000016	abf-5	protein_coding
WBGene00000017	abf-6	protein_coding
WBGene00000018	abl-1	protein_coding
WBGene00000019	abt-1	protein_coding
WBGene00000020	abt-2	protein_coding
WBGene00000021	abt-3	pseudogene
WBGene00000022	abt-4	protein_coding
WBGene00000023	abt-5	protein_coding
WBGene00000024	abu-1	protein_coding
WBGene00000025	abu-2	protein_coding
WBGene00000026	abu-3	protein_coding
WBGene00000027	abu-4	protein_coding
WBGene00000028	abu-5	protein_coding
WBGene00000029	abu-6	protein_coding
WBGene00000030	abu-7	protein_coding
WBGene00000031	abu-8	protein_coding
WBGene00000032	abu-9	protein_coding
WBGene00000033	abu-10	protein_coding
WBGene00000034	abu-11	protein_coding
WBGene00000035	ace-1	protein_coding
WBGene00000036	ace-2	protein_coding
WBGene00000037	ace-3	protein_coding
WBGene00000038	ace-4	protein_coding
WBGene00000039	acn-1	protein_coding
WBGene00000040	aco-1	protein_coding
WBGene00000041	aco-2	protein_coding
WBGene00000042	acr-2	protein_coding
WBGene00000043	acr-3	protein_coding
WBGene00000044	acr-5	protein_coding
WBGene00000045	acr-6	protein_coding
WBGene00000046	acr-7	protein_coding
WBGene00000047	acr-8	protein_coding
WBGene00000048	acr-9	protein_coding
WBGene00000049	acr-10	protein_coding
WBGene00000050	acr-11	protein_coding
WBGene00000051	acr-12	protein_coding
WBGene00000053	acr-14	protein_coding
WBGene00000054	acr-15	protein_coding
WBGene00000055	acr-16	protein_coding
WBGene00000056	acr-17	protein_coding
WBGene00000057	acr-18	protein_coding
WBGene00000058	acr-19	protein_coding
WBGene00000059	acr-20	protein_coding
WBGene00000060	acr-21	protein_coding
WBGene00000061	lgc-11	protein_coding
WBGene00000062	acr-23	protein_coding
WBGene00000063	act-1	protein_coding
WBGene00000064	act-2	protein_coding
WBGene00000065	act-3	protein_coding
WBGene00000066	act-4	protein_coding
WBGene00000067	act-5	protein_coding
WBGene00000068	acy-1	protein_coding
WBGene00000069	acy-2	protein_coding
WBGene00000070	acy-3	protein_coding
WBGene00000071	acy-4	protein_coding
WBGene00000072	add-1	protein_coding
WBGene00000073	add-2	protein_coding
WBGene00000074	adm-2	protein_coding
WBGene00000075	adm-4	protein_coding
WBGene00000079	adr-1	protein_coding
WBGene00000080	adr-2	protein_coding
WBGene00000081	ads-1	protein_coding
WBGene00000082	adt-1	protein_coding
WBGene00000083	adt-2	protein_coding
WBGene00000084	aex-1	protein_coding
WBGene00000085	aex-2	protein_coding
WBGene00000086	aex-3	protein_coding
WBGene00000088	aex-5	protein_coding
WBGene00000089	aex-6	protein_coding
WBGene00000090	age-1	protein_coding
WBGene00000092	ags-3	protein_coding
WBGene00000093	agt-1	protein_coding
WBGene00000094	agt-2	protein_coding
WBGene00000095	aha-1	protein_coding
WBGene00000096	ahr-1	protein_coding
WBGene00000097	aip-1	protein_coding
WBGene00000098	air-1	protein_coding
WBGene00000099	air-2	protein_coding
WBGene00000100	ajm-1	protein_coding
WBGene00000101	aka-1	protein_coding
WBGene00000102	akt-1	protein_coding
WBGene00000103	akt-2	protein_coding
WBGene00000105	alg-1	protein_coding
WBGene00000106	alg-2	protein_coding
WBGene00000107	alh-1	protein_coding
WBGene00000108	alh-2	protein_coding
WBGene00000109	alh-3	protein_coding
WBGene00000110	alh-4	protein_coding
WBGene00000111	alh-5	protein_coding
WBGene00000112	alh-6	protein_coding
WBGene00000113	alh-7	protein_coding
WBGene00000114	alh-8	protein_coding
WBGene00000115	alh-9	protein_coding
WBGene00000116	alh-10	protein_coding
WBGene00000117	alh-11	protein_coding
WBGene00000118	alh-12	protein_coding
WBGene00000120	aly-1	protein_coding
WBGene00000121	aly-2	protein_coding
WBGene00000122	aly-3	protein_coding
WBGene00000123	ama-1	protein_coding
WBGene00000133	amt-1	protein_coding
WBGene00000134	amt-2	protein_coding
WBGene00000135	amt-3	protein_coding
WBGene00000136	amt-4	protein_coding
WBGene00000137	amx-1	protein_coding
WBGene00000138	amx-2	protein_coding
WBGene00000139	amx-3	protein_coding
WBGene00000140	anc-1	protein_coding
WBGene00000142	aos-1	protein_coding
WBGene00000143	apc-2	protein_coding
WBGene00000144	apc-10	protein_coding
WBGene00000145	apc-11	protein_coding
WBGene00000146	ape-1	protein_coding
WBGene00000147	aph-1	protein_coding
WBGene00000148	aph-2	protein_coding
WBGene00000149	apl-1	protein_coding
WBGene00000150	apm-1	protein_coding
WBGene00000151	apn-1	protein_coding
WBGene00000155	app-1	protein_coding
WBGene00000156	apr-1	protein_coding
WBGene00000157	aps-2	protein_coding
WBGene00000158	apg-1	protein_coding
WBGene00000159	aps-1	protein_coding
WBGene00000160	apb-1	protein_coding
WBGene00000161	apa-2	protein_coding
WBGene00000162	apd-3	protein_coding
WBGene00000163	apb-3	protein_coding
WBGene00000164	apm-3	protein_coding
WBGene00000165	aps-3	protein_coding
WBGene00000166	apt-9	protein_coding
WBGene00000168	apx-1	protein_coding
WBGene00000169	aqp-1	protein_coding
WBGene00000170	aqp-2	protein_coding
WBGene00000171	aqp-3	protein_coding
WBGene00000172	aqp-4	protein_coding
WBGene00000173	aqp-5	protein_coding
WBGene00000174	aqp-6	protein_coding
WBGene00000175	aqp-7	protein_coding
WBGene00000176	aqp-8	protein_coding
WBGene00000177	aqp-9	protein_coding
WBGene00000178	aqp-10	protein_coding
WBGene00000179	aqp-11	protein_coding
WBGene00000180	arc-1	protein_coding
WBGene00000181	ard-1	protein_coding
WBGene00000182	arf-1.2	protein_coding
WBGene00000183	arf-3	protein_coding
WBGene00000184	arf-6	protein_coding
WBGene00000185	arg-1	protein_coding
WBGene00000186	ark-1	protein_coding
WBGene00000187	arl-1	protein_coding
WBGene00000188	arl-3	protein_coding
WBGene00000189	arl-5	protein_coding
WBGene00000190	arf-1.1	protein_coding
WBGene00000191	arl-7	pseudogene
WBGene00000192	arl-8	protein_coding
WBGene00000193	arl-6	protein_coding
WBGene00000195	arr-1	protein_coding
WBGene00000196	aars-1	protein_coding
WBGene00000197	aars-2	protein_coding
WBGene00000198	art-1	protein_coding
WBGene00000199	arx-1	protein_coding
WBGene00000200	arx-2	protein_coding
WBGene00000201	arx-3	protein_coding
WBGene00000202	exos-4.2	protein_coding
WBGene00000203	arx-5	protein_coding
WBGene00000204	arx-6	protein_coding
WBGene00000205	arx-7	protein_coding
WBGene00000206	asb-1	protein_coding
WBGene00000207	asb-2	protein_coding
WBGene00000208	asc-1	protein_coding
WBGene00000209	asg-1	protein_coding
WBGene00000210	asg-2	protein_coding
WBGene00000211	asm-1	protein_coding
WBGene00000212	asm-2	protein_coding
WBGene00000213	asm-3	protein_coding
WBGene00000214	asp-1	protein_coding
WBGene00000215	asp-2	protein_coding
WBGene00000216	asp-3	protein_coding
WBGene00000217	asp-4	protein_coding
WBGene00000218	asp-5	protein_coding
WBGene00000219	asp-6	protein_coding
WBGene00000220	atf-2	protein_coding
WBGene00000221	atf-5	protein_coding
WBGene00000222	atf-6	protein_coding
WBGene00000223	atf-7	protein_coding
WBGene00000224	atgp-1	protein_coding
WBGene00000225	atgp-2	protein_coding
WBGene00000226	atl-1	protein_coding
WBGene00000227	atm-1	protein_coding
WBGene00000228	atn-1	protein_coding
WBGene00000229	atp-2	protein_coding
WBGene00000230	atp-3	protein_coding
WBGene00000231	atx-2	protein_coding
WBGene00000232	avr-14	protein_coding
WBGene00000233	avr-15	protein_coding
WBGene00000235	baf-1	protein_coding
WBGene00000236	bag-1	protein_coding
WBGene00000237	bam-2	protein_coding
WBGene00000238	bar-1	protein_coding
WBGene00000239	bas-1	protein_coding
WBGene00000240	pah-1	protein_coding
WBGene00000241	bbs-1	protein_coding
WBGene00000242	bbs-2	protein_coding
WBGene00000244	bbs-8	protein_coding
WBGene00000245	bca-1	protein_coding
WBGene00000246	bcc-1	protein_coding
WBGene00000247	bec-1	protein_coding
WBGene00000248	ben-1	protein_coding
WBGene00000249	bir-1	protein_coding
WBGene00000250	bir-2	protein_coding
WBGene00000251	bli-1	protein_coding
WBGene00000252	bli-2	protein_coding
WBGene00000253	bli-3	protein_coding
WBGene00000254	bli-4	protein_coding
WBGene00000255	bli-5	protein_coding
WBGene00000256	bli-6	protein_coding
WBGene00000257	bmk-1	protein_coding
WBGene00000259	bpl-1	protein_coding
WBGene00000262	bra-1	protein_coding
WBGene00000263	F23H11.5	protein_coding
WBGene00000264	brc-1	protein_coding
WBGene00000265	brd-1	protein_coding
WBGene00000266	bre-1	protein_coding
WBGene00000267	bre-2	protein_coding
WBGene00000268	bre-3	protein_coding
WBGene00000269	bre-4	protein_coding
WBGene00000270	bre-5	protein_coding
WBGene00000271	brf-1	protein_coding
WBGene00000272	bro-1	protein_coding
WBGene00000273	brp-1	protein_coding
WBGene00000274	btf-1	protein_coding
WBGene00000275	bub-1	protein_coding
WBGene00000276	byn-1	protein_coding
WBGene00000277	cab-1	protein_coding
WBGene00000279	cah-1	protein_coding
WBGene00000280	cah-2	protein_coding
WBGene00000281	cah-3	protein_coding
WBGene00000282	cah-4	protein_coding
WBGene00000283	cah-5	protein_coding
WBGene00000284	cah-6	protein_coding
WBGene00000285	cal-1	protein_coding
WBGene00000286	cal-2	protein_coding
WBGene00000287	cal-3	protein_coding
WBGene00000288	cal-4	protein_coding
WBGene00000289	cam-1	protein_coding
WBGene00000292	cap-1	protein_coding
WBGene00000293	cap-2	protein_coding
WBGene00000294	cas-1	protein_coding
WBGene00000295	cat-1	protein_coding
WBGene00000296	cat-2	protein_coding
WBGene00000298	cat-4	protein_coding
WBGene00000301	cav-1	protein_coding
WBGene00000302	cav-2	protein_coding
WBGene00000308	C04A11.t1	tRNA
WBGene00000310	C05C9.t1	tRNA
WBGene00000311	C05C9.t2	tRNA
WBGene00000366	cbp-1	protein_coding
WBGene00000367	cca-1	protein_coding
WBGene00000368	ccb-1	protein_coding
WBGene00000369	ccf-1	protein_coding
WBGene00000370	ccg-1	protein_coding
WBGene00000371	cco-1	protein_coding
WBGene00000372	cyp-13A7	protein_coding
WBGene00000373	cyp-14A5	protein_coding
WBGene00000374	cyp-31A1	pseudogene
WBGene00000375	cyp-44A1	protein_coding
WBGene00000376	ccr-4	protein_coding
WBGene00000377	cct-1	protein_coding
WBGene00000378	cct-2	protein_coding
WBGene00000379	cct-4	protein_coding
WBGene00000380	cct-5	protein_coding
WBGene00000381	cct-6	protein_coding
WBGene00000382	cdc-6	protein_coding
WBGene00000383	cdc-14	protein_coding
WBGene00000386	cdc-25.1	protein_coding
WBGene00000387	cdc-25.2	protein_coding
WBGene00000388	cdc-25.3	protein_coding
WBGene00000389	cdc-25.4	protein_coding
WBGene00000390	cdc-42	protein_coding
WBGene00000391	cdd-1	protein_coding
WBGene00000392	cdd-2	protein_coding
WBGene00000393	cdf-1	protein_coding
WBGene00000395	cdh-3	protein_coding
WBGene00000396	cdh-4	protein_coding
WBGene00000397	cdh-5	protein_coding
WBGene00000399	cdh-7	protein_coding
WBGene00000401	cdh-9	protein_coding
WBGene00000402	cdh-10	protein_coding
WBGene00000403	casy-1	protein_coding
WBGene00000405	cdk-1	protein_coding
WBGene00000406	cdk-4	protein_coding
WBGene00000407	cdk-5	protein_coding
WBGene00000408	cdk-7	protein_coding
WBGene00000409	cdk-8	protein_coding
WBGene00000410	cdk-9	protein_coding
WBGene00000411	cdl-1	protein_coding
WBGene00000412	cdr-1	protein_coding
WBGene00000413	cdt-1	protein_coding
WBGene00000414	cec-1	protein_coding
WBGene00000415	ced-1	protein_coding
WBGene00000416	ced-2	protein_coding
WBGene00000417	ced-3	protein_coding
WBGene00000418	ced-4	protein_coding
WBGene00000419	ced-5	protein_coding
WBGene00000420	ced-6	protein_coding
WBGene00000421	ced-7	protein_coding
WBGene00000422	ced-8	protein_coding
WBGene00000423	ced-9	protein_coding
WBGene00000424	ced-10	protein_coding
WBGene00000425	ced-11	protein_coding
WBGene00000426	ced-12	protein_coding
WBGene00000427	ced-13	protein_coding
WBGene00000428	ceh-1	protein_coding
WBGene00000429	ceh-2	protein_coding
WBGene00000430	ceh-5	protein_coding
WBGene00000431	ceh-6	protein_coding
WBGene00000432	ceh-7	protein_coding
WBGene00000433	ceh-8	protein_coding
WBGene00000434	ceh-9	protein_coding
WBGene00000435	ceh-10	protein_coding
WBGene00000436	ceh-12	protein_coding
WBGene00000437	ceh-13	protein_coding
WBGene00000438	ceh-14	protein_coding
WBGene00000439	ceh-16	protein_coding
WBGene00000440	ceh-17	protein_coding
WBGene00000441	ceh-18	protein_coding
WBGene00000442	ceh-19	protein_coding
WBGene00000443	ceh-20	protein_coding
WBGene00000444	ceh-21	protein_coding
WBGene00000445	ceh-22	protein_coding
WBGene00000446	ceh-23	protein_coding
WBGene00000447	ceh-24	protein_coding
WBGene00000448	pros-1	protein_coding
WBGene00000449	ceh-27	protein_coding
WBGene00000450	ceh-28	protein_coding
WBGene00000451	ceh-30	protein_coding
WBGene00000452	ceh-31	protein_coding
WBGene00000453	ceh-32	protein_coding
WBGene00000454	ceh-33	protein_coding
WBGene00000455	ceh-34	protein_coding
WBGene00000457	ceh-36	protein_coding
WBGene00000458	ceh-37	protein_coding
WBGene00000459	ceh-38	protein_coding
WBGene00000460	ceh-39	protein_coding
WBGene00000461	ceh-40	protein_coding
WBGene00000462	ceh-41	protein_coding
WBGene00000463	ceh-43	protein_coding
WBGene00000464	ceh-44	protein_coding
WBGene00000465	cpg-1	protein_coding
WBGene00000466	cel-1	protein_coding
WBGene00000467	cep-1	protein_coding
WBGene00000468	ces-1	protein_coding
WBGene00000469	ces-2	protein_coding
WBGene00000472	cey-1	protein_coding
WBGene00000473	cey-2	protein_coding
WBGene00000474	cey-3	protein_coding
WBGene00000475	cey-4	protein_coding
WBGene00000476	cfi-1	protein_coding
WBGene00000477	cft-1	protein_coding
WBGene00000478	cfz-2	protein_coding
WBGene00000479	cgh-1	protein_coding
WBGene00000480	cgp-1	protein_coding
WBGene00000481	cha-1	protein_coding
WBGene00000482	chd-3	protein_coding
WBGene00000483	che-1	protein_coding
WBGene00000484	che-2	protein_coding
WBGene00000485	che-3	protein_coding
WBGene00000487	che-6	protein_coding
WBGene00000488	che-7	protein_coding
WBGene00000490	che-11	protein_coding
WBGene00000491	che-12	protein_coding
WBGene00000492	che-13	protein_coding
WBGene00000493	che-14	protein_coding
WBGene00000496	chs-1	protein_coding
WBGene00000497	chs-2	protein_coding
WBGene00000498	chk-1	protein_coding
WBGene00000499	chk-2	protein_coding
WBGene00000500	chn-1	protein_coding
WBGene00000501	cho-1	protein_coding
WBGene00000502	chp-1	protein_coding
WBGene00000503	cht-1	protein_coding
WBGene00000506	cic-1	protein_coding
WBGene00000507	cit-1.1	protein_coding
WBGene00000508	cit-1.2	protein_coding
WBGene00000509	cka-1	protein_coding
WBGene00000510	cka-2	protein_coding
WBGene00000511	ckb-1	protein_coding
WBGene00000512	ckb-2	protein_coding
WBGene00000513	ckb-3	protein_coding
WBGene00000514	ckb-4	protein_coding
WBGene00000515	ckc-1	protein_coding
WBGene00000516	cki-1	protein_coding
WBGene00000517	cki-2	protein_coding
WBGene00000518	ckk-1	protein_coding
WBGene00000519	cku-70	protein_coding
WBGene00000520	cku-80	protein_coding
WBGene00000521	cky-1	protein_coding
WBGene00000522	clc-1	protein_coding
WBGene00000523	clc-2	protein_coding
WBGene00000524	clc-3	protein_coding
WBGene00000525	clc-4	protein_coding
WBGene00000526	clc-5	protein_coding
WBGene00000527	cle-1	protein_coding
WBGene00000528	clh-1	protein_coding
WBGene00000529	clh-2	protein_coding
WBGene00000530	clh-3	protein_coding
WBGene00000531	clh-4	protein_coding
WBGene00000532	clh-5	protein_coding
WBGene00000533	clh-6	protein_coding
WBGene00000534	cpi-2	protein_coding
WBGene00000535	cpi-1	protein_coding
WBGene00000536	clk-1	protein_coding
WBGene00000537	clk-2	protein_coding
WBGene00000539	cln-3.1	protein_coding
WBGene00000540	cln-3.2	protein_coding
WBGene00000541	cln-3.3	protein_coding
WBGene00000542	clp-1	protein_coding
WBGene00000543	clp-2	protein_coding
WBGene00000544	clp-3	protein_coding
WBGene00000545	clp-4	protein_coding
WBGene00000546	clp-6	protein_coding
WBGene00000547	clp-7	protein_coding
WBGene00000548	clr-1	protein_coding
WBGene00000549	cls-2	protein_coding
WBGene00000550	clu-1	protein_coding
WBGene00000551	clx-1	protein_coding
WBGene00000552	cmd-1	protein_coding
WBGene00000553	cmk-1	protein_coding
WBGene00000554	cnb-1	protein_coding
WBGene00000555	cnc-1	protein_coding
WBGene00000556	cnc-2	protein_coding
WBGene00000557	cnc-3	protein_coding
WBGene00000558	cnc-4	protein_coding
WBGene00000559	cnc-5	protein_coding
WBGene00000560	cnc-6	protein_coding
WBGene00000561	cnd-1	protein_coding
WBGene00000562	cng-1	protein_coding
WBGene00000563	cng-3	protein_coding
WBGene00000564	cnk-1	protein_coding
WBGene00000565	cnt-1	protein_coding
WBGene00000566	cnt-2	protein_coding
WBGene00000567	cnx-1	protein_coding
WBGene00000583	cof-2	protein_coding
WBGene00000584	cog-1	protein_coding
WBGene00000585	cogc-2	protein_coding
WBGene00000591	coh-1	protein_coding
WBGene00000592	coh-3	protein_coding
WBGene00000593	col-2	protein_coding
WBGene00000594	col-3	protein_coding
WBGene00000596	col-7	protein_coding
WBGene00000597	col-8	protein_coding
WBGene00000598	col-9	protein_coding
WBGene00000599	col-10	protein_coding
WBGene00000601	col-12	protein_coding
WBGene00000602	col-13	protein_coding
WBGene00000603	col-14	protein_coding
WBGene00000606	col-17	protein_coding
WBGene00000608	col-19	protein_coding
WBGene00000609	col-20	protein_coding
WBGene00000610	col-33	protein_coding
WBGene00000611	col-34	protein_coding
WBGene00000612	col-35	protein_coding
WBGene00000613	col-36	protein_coding
WBGene00000614	col-37	protein_coding
WBGene00000615	col-38	protein_coding
WBGene00000616	col-39	protein_coding
WBGene00000617	col-40	protein_coding
WBGene00000618	col-41	protein_coding
WBGene00000620	col-43	protein_coding
WBGene00000621	col-44	protein_coding
WBGene00000622	col-45	protein_coding
WBGene00000623	col-46	protein_coding
WBGene00000624	col-47	protein_coding
WBGene00000625	col-48	protein_coding
WBGene00000626	col-49	protein_coding
WBGene00000627	col-50	protein_coding
WBGene00000628	col-51	protein_coding
WBGene00000629	col-52	protein_coding
WBGene00000630	col-53	protein_coding
WBGene00000631	col-54	protein_coding
WBGene00000632	col-55	protein_coding
WBGene00000633	col-56	protein_coding
WBGene00000634	col-58	protein_coding
WBGene00000636	col-60	protein_coding
WBGene00000637	col-61	protein_coding
WBGene00000638	col-62	protein_coding
WBGene00000639	col-63	protein_coding
WBGene00000640	col-64	protein_coding
WBGene00000641	col-65	protein_coding
WBGene00000642	col-66	pseudogene
WBGene00000644	col-68	protein_coding
WBGene00000645	col-69	protein_coding
WBGene00000646	H17B01.2	protein_coding
WBGene00000647	col-71	protein_coding
WBGene00000648	col-72	protein_coding
WBGene00000649	col-73	protein_coding
WBGene00000650	col-74	protein_coding
WBGene00000651	col-75	protein_coding
WBGene00000652	col-76	protein_coding
WBGene00000653	col-77	protein_coding
WBGene00000654	col-78	protein_coding
WBGene00000655	col-79	protein_coding
WBGene00000656	col-80	protein_coding
WBGene00000657	col-81	protein_coding
WBGene00000658	col-83	protein_coding
WBGene00000659	col-84	protein_coding
WBGene00000660	col-85	protein_coding
WBGene00000661	col-86	protein_coding
WBGene00000662	col-87	protein_coding
WBGene00000663	col-88	protein_coding
