Gene	Name	Type
ENSECAG00000000001	MTPAP	protein_coding
ENSECAG00000000003	R3HDM4	protein_coding
ENSECAG00000000004	RNF170	protein_coding
ENSECAG00000000005	HNF4G	protein_coding
ENSECAG00000000006	GAD2	protein_coding
ENSECAG00000000007	TMEM70	protein_coding
ENSECAG00000000008	RPLP2	protein_coding
ENSECAG00000000010	LRRC58	protein_coding
ENSECAG00000000011	ADGRA2	protein_coding
ENSECAG00000000012	PRKX	protein_coding
ENSECAG00000000014	GAS6	protein_coding
ENSECAG00000000015	KIAA1217	protein_coding
ENSECAG00000000016	FAM149B1	protein_coding
ENSECAG00000000017	CHCHD6	protein_coding
ENSECAG00000000018	KANSL1L	protein_coding
ENSECAG00000000019	MRPL52	protein_coding
ENSECAG00000000020	THAP1	protein_coding
ENSECAG00000000022	PLXNA1	protein_coding
ENSECAG00000000024	CHRNA6	protein_coding
ENSECAG00000000025	FGD1	protein_coding
ENSECAG00000000026	XG	protein_coding
ENSECAG00000000029	MARCHF5	protein_coding
ENSECAG00000000030	FRA10AC1	protein_coding
ENSECAG00000000031	CAMK2G	protein_coding
ENSECAG00000000034	CBLN1	protein_coding
ENSECAG00000000035	GNL3L	protein_coding
ENSECAG00000000036	MAGED2	protein_coding
ENSECAG00000000037	HINT2	protein_coding
ENSECAG00000000039	PFKFB1	protein_coding
ENSECAG00000000041	FAM217A	protein_coding
ENSECAG00000000042	ZC3H11A	protein_coding
ENSECAG00000000043	CHRNB3	protein_coding
ENSECAG00000000046	FAM13C	protein_coding
ENSECAG00000000047	MPC2	protein_coding
ENSECAG00000000048	UBA2	protein_coding
ENSECAG00000000050	WASF3	protein_coding
ENSECAG00000000051	IL1B	protein_coding
ENSECAG00000000053	AIMP2	protein_coding
ENSECAG00000000054	CCL17	protein_coding
ENSECAG00000000055	ENSECAG00000000055	protein_coding
ENSECAG00000000056	SLITRK3	protein_coding
ENSECAG00000000057	TRMT5	protein_coding
ENSECAG00000000058	CALB1	protein_coding
ENSECAG00000000059	CLVS1	protein_coding
ENSECAG00000000060	CIAPIN1	protein_coding
ENSECAG00000000063	PTCHD3	protein_coding
ENSECAG00000000064	ELOC	protein_coding
ENSECAG00000000065	ADGRA1	protein_coding
ENSECAG00000000066	NAP1L1	protein_coding
ENSECAG00000000068	ALAS2	protein_coding
ENSECAG00000000072	MAP7D2	protein_coding
ENSECAG00000000073	ADAM2	protein_coding
ENSECAG00000000074	METRNL	protein_coding
ENSECAG00000000077	CPEB3	protein_coding
ENSECAG00000000078	EXOC2	protein_coding
ENSECAG00000000080	PRXL2C	protein_coding
ENSECAG00000000081	PTER	protein_coding
ENSECAG00000000084	ACBD3	protein_coding
ENSECAG00000000085	AGA	protein_coding
ENSECAG00000000087	SNTG1	protein_coding
ENSECAG00000000088	DUSP13	protein_coding
ENSECAG00000000090	MAP3K8	protein_coding
ENSECAG00000000091	PBLD	protein_coding
ENSECAG00000000092	NKX2-3	protein_coding
ENSECAG00000000093	ENSECAG00000000093	protein_coding
ENSECAG00000000095	GOT1	protein_coding
ENSECAG00000000096	SLC20A2	protein_coding
ENSECAG00000000097	ENSECAG00000000097	protein_coding
ENSECAG00000000099	NDRG4	protein_coding
ENSECAG00000000101	PAOX	protein_coding
ENSECAG00000000102	EIF5B	protein_coding
ENSECAG00000000103	ANKRD39	protein_coding
ENSECAG00000000104	ZNF74	protein_coding
ENSECAG00000000105	GCNT2	protein_coding
ENSECAG00000000106	TXNDC5	protein_coding
ENSECAG00000000107	BCL2A1	protein_coding
ENSECAG00000000110	WRN	protein_coding
ENSECAG00000000113	ACOT11	protein_coding
ENSECAG00000000114	PRL	protein_coding
ENSECAG00000000116	SUPT20H	protein_coding
ENSECAG00000000117	ZNF483	protein_coding
ENSECAG00000000119	FAM221B	protein_coding
ENSECAG00000000120	SGCZ	protein_coding
ENSECAG00000000121	NAV3	protein_coding
ENSECAG00000000122	GDA	protein_coding
ENSECAG00000000124	COPG1	protein_coding
ENSECAG00000000125	SGMS1	protein_coding
ENSECAG00000000126	C31H6orf118	protein_coding
ENSECAG00000000127	EIF2D	protein_coding
ENSECAG00000000129	SUGP2	protein_coding
ENSECAG00000000130	ENSECAG00000000130	pseudogene
