Gene	Name	Type
GLYMA_01G000100	GLYMA_01G000100	protein_coding
GLYMA_01G000200	GLYMA_01G000200	protein_coding
GLYMA_01G000300	GLYMA_01G000300	protein_coding
GLYMA_01G000400	GLYMA_01G000400	protein_coding
GLYMA_01G000500	GLYMA_01G000500	protein_coding
GLYMA_01G000600	GLYMA_01G000600	protein_coding
GLYMA_01G000700	GLYMA_01G000700	protein_coding
GLYMA_01G000800	GLYMA_01G000800	protein_coding
GLYMA_01G000900	GLYMA_01G000900	protein_coding
GLYMA_01G001000	GLYMA_01G001000	protein_coding
GLYMA_01G001100	GLYMA_01G001100	protein_coding
GLYMA_01G001200	GLYMA_01G001200	protein_coding
GLYMA_01G001300	GLYMA_01G001300	protein_coding
GLYMA_01G001400	GLYMA_01G001400	protein_coding
GLYMA_01G001500	GLYMA_01G001500	protein_coding
GLYMA_01G001600	GLYMA_01G001600	protein_coding
GLYMA_01G001700	GLYMA_01G001700	protein_coding
GLYMA_01G001800	GLYMA_01G001800	protein_coding
GLYMA_01G001900	GLYMA_01G001900	protein_coding
GLYMA_01G002000	GLYMA_01G002000	protein_coding
GLYMA_01G002100	GLYMA_01G002100	protein_coding
GLYMA_01G002200	GLYMA_01G002200	protein_coding
GLYMA_01G002300	GLYMA_01G002300	protein_coding
GLYMA_01G002400	GLYMA_01G002400	protein_coding
GLYMA_01G002500	GLYMA_01G002500	protein_coding
GLYMA_01G002600	GLYMA_01G002600	protein_coding
GLYMA_01G002700	GLYMA_01G002700	protein_coding
GLYMA_01G002800	GLYMA_01G002800	protein_coding
GLYMA_01G002900	GLYMA_01G002900	protein_coding
GLYMA_01G003000	GLYMA_01G003000	protein_coding
GLYMA_01G003100	GLYMA_01G003100	protein_coding
GLYMA_01G003200	GLYMA_01G003200	protein_coding
GLYMA_01G003300	GLYMA_01G003300	protein_coding
GLYMA_01G003400	GLYMA_01G003400	protein_coding
GLYMA_01G003500	GLYMA_01G003500	protein_coding
GLYMA_01G003600	GLYMA_01G003600	protein_coding
GLYMA_01G003700	GLYMA_01G003700	protein_coding
GLYMA_01G003800	GLYMA_01G003800	protein_coding
GLYMA_01G003900	GLYMA_01G003900	protein_coding
GLYMA_01G004000	GLYMA_01G004000	protein_coding
GLYMA_01G004100	GLYMA_01G004100	protein_coding
GLYMA_01G004200	GLYMA_01G004200	protein_coding
GLYMA_01G004300	GLYMA_01G004300	protein_coding
GLYMA_01G004400	GLYMA_01G004400	protein_coding
GLYMA_01G004500	GLYMA_01G004500	protein_coding
GLYMA_01G004600	GLYMA_01G004600	protein_coding
GLYMA_01G004700	GLYMA_01G004700	protein_coding
GLYMA_01G004800	GLYMA_01G004800	protein_coding
GLYMA_01G004900	GLYMA_01G004900	protein_coding
GLYMA_01G005000	GLYMA_01G005000	protein_coding
GLYMA_01G005100	GLYMA_01G005100	protein_coding
GLYMA_01G005200	GLYMA_01G005200	protein_coding
GLYMA_01G005300	GLYMA_01G005300	protein_coding
GLYMA_01G005400	GLYMA_01G005400	protein_coding
GLYMA_01G005500	GLYMA_01G005500	protein_coding
GLYMA_01G005600	GLYMA_01G005600	protein_coding
GLYMA_01G005700	GLYMA_01G005700	protein_coding
GLYMA_01G005800	GLYMA_01G005800	protein_coding
GLYMA_01G005900	GLYMA_01G005900	protein_coding
GLYMA_01G006000	GLYMA_01G006000	protein_coding
GLYMA_01G006100	GLYMA_01G006100	protein_coding
GLYMA_01G006200	GLYMA_01G006200	protein_coding
GLYMA_01G006300	GLYMA_01G006300	protein_coding
GLYMA_01G006400	GLYMA_01G006400	protein_coding
GLYMA_01G006500	GLYMA_01G006500	protein_coding
GLYMA_01G006600	GLYMA_01G006600	protein_coding
GLYMA_01G006700	GLYMA_01G006700	protein_coding
GLYMA_01G006800	GLYMA_01G006800	protein_coding
GLYMA_01G006900	GLYMA_01G006900	protein_coding
GLYMA_01G007000	GLYMA_01G007000	protein_coding
GLYMA_01G007100	GLYMA_01G007100	protein_coding
GLYMA_01G007200	GLYMA_01G007200	protein_coding
GLYMA_01G007300	GLYMA_01G007300	protein_coding
GLYMA_01G007400	GLYMA_01G007400	protein_coding
GLYMA_01G007500	GLYMA_01G007500	protein_coding
GLYMA_01G007600	GLYMA_01G007600	protein_coding
GLYMA_01G007700	GLYMA_01G007700	protein_coding
GLYMA_01G007800	GLYMA_01G007800	protein_coding
GLYMA_01G007900	GLYMA_01G007900	protein_coding
GLYMA_01G008000	GLYMA_01G008000	protein_coding
GLYMA_01G008100	GLYMA_01G008100	protein_coding
GLYMA_01G008200	GLYMA_01G008200	protein_coding
GLYMA_01G008300	GLYMA_01G008300	protein_coding
GLYMA_01G008400	GLYMA_01G008400	protein_coding
GLYMA_01G008500	GLYMA_01G008500	protein_coding
GLYMA_01G008600	GLYMA_01G008600	protein_coding
GLYMA_01G008700	GLYMA_01G008700	protein_coding
GLYMA_01G008800	GLYMA_01G008800	protein_coding
GLYMA_01G008900	GLYMA_01G008900	protein_coding
GLYMA_01G009000	GLYMA_01G009000	protein_coding
GLYMA_01G009100	GLYMA_01G009100	protein_coding
GLYMA_01G009200	GLYMA_01G009200	protein_coding
GLYMA_01G009300	GLYMA_01G009300	protein_coding
GLYMA_01G009400	GLYMA_01G009400	protein_coding
GLYMA_01G009500	GLYMA_01G009500	protein_coding
