Gene	Name	Type
"FBgn0000003"	 "7SLRNA:CR32864"	"ncRNA"
"FBgn0000008"	 "a"	"protein_coding"
"FBgn0000014"	 "abd-A"	"protein_coding"
"FBgn0000015"	 "Abd-B"	"protein_coding"
"FBgn0000017"	 "Abl"	"protein_coding"
"FBgn0000018"	 "abo"	"protein_coding"
"FBgn0000022"	 "ac"	"protein_coding"
"FBgn0000024"	 "Ace"	"protein_coding"
"FBgn0000028"	 "acj6"	"protein_coding"
"FBgn0000032"	 "Acph-1"	"protein_coding"
"FBgn0000036"	 "nAChRalpha1"	"protein_coding"
"FBgn0000037"	 "mAChR-A"	"protein_coding"
"FBgn0000038"	 "nAChRbeta1"	"protein_coding"
"FBgn0000039"	 "nAChRalpha2"	"protein_coding"
"FBgn0000042"	 "Act5C"	"protein_coding"
"FBgn0000043"	 "Act42A"	"protein_coding"
"FBgn0000044"	 "Act57B"	"protein_coding"
"FBgn0000045"	 "Act79B"	"protein_coding"
"FBgn0000046"	 "Act87E"	"protein_coding"
"FBgn0000047"	 "Act88F"	"protein_coding"
"FBgn0000052"	 "Pfas"	"protein_coding"
"FBgn0000053"	 "Gart"	"protein_coding"
"FBgn0000055"	 "Adh"	"protein_coding"
"FBgn0000056"	 "Adhr"	"protein_coding"
"FBgn0000057"	 "adp"	"protein_coding"
"FBgn0000061"	 "al"	"protein_coding"
"FBgn0000063"	 "Mps1"	"protein_coding"
"FBgn0000064"	 "Ald"	"protein_coding"
"FBgn0000071"	 "Ama"	"protein_coding"
"FBgn0000075"	 "amd"	"protein_coding"
"FBgn0000077"	 "amx"	"protein_coding"
"FBgn0000078"	 "Amy-d"	"protein_coding"
"FBgn0000079"	 "Amy-p"	"protein_coding"
"FBgn0000083"	 "AnxB9"	"protein_coding"
"FBgn0000084"	 "AnxB10"	"protein_coding"
"FBgn0000092"	 "CG2650"	"protein_coding"
"FBgn0000094"	 "Anp"	"protein_coding"
"FBgn0000097"	 "aop"	"protein_coding"
"FBgn0000100"	 "RpLP0"	"protein_coding"
"FBgn0000108"	 "Appl"	"protein_coding"
"FBgn0000109"	 "Aprt"	"protein_coding"
"FBgn0000114"	 "bru1"	"protein_coding"
"FBgn0000115"	 "Arl1"	"protein_coding"
"FBgn0000116"	 "Argk"	"protein_coding"
"FBgn0000117"	 "arm"	"protein_coding"
"FBgn0000119"	 "arr"	"protein_coding"
"FBgn0000120"	 "Arr1"	"protein_coding"
"FBgn0000121"	 "Arr2"	"protein_coding"
"FBgn0000137"	 "ase"	"protein_coding"
"FBgn0000139"	 "ash2"	"protein_coding"
"FBgn0000140"	 "asp"	"protein_coding"
"FBgn0000146"	 "aub"	"protein_coding"
"FBgn0000147"	 "aurA"	"protein_coding"
"FBgn0000150"	 "awd"	"protein_coding"
"FBgn0000152"	 "Axs"	"protein_coding"
"FBgn0000153"	 "b"	"protein_coding"
"FBgn0000157"	 "Dll"	"protein_coding"
"FBgn0000158"	 "bam"	"protein_coding"
"FBgn0000163"	 "baz"	"protein_coding"
"FBgn0000166"	 "bcd"	"protein_coding"
"FBgn0000173"	 "ben"	"protein_coding"
"FBgn0000179"	 "bi"	"protein_coding"
"FBgn0000180"	 "bib"	"protein_coding"
"FBgn0000181"	 "bic"	"protein_coding"
"FBgn0000182"	 "BicC"	"protein_coding"
"FBgn0000183"	 "BicD"	"protein_coding"
"FBgn0000206"	 "boss"	"protein_coding"
"FBgn0000212"	 "brm"	"protein_coding"
"FBgn0000216"	 "Brd"	"protein_coding"
"FBgn0000221"	 "brn"	"protein_coding"
"FBgn0000227"	 "Bsg25A"	"protein_coding"
"FBgn0000228"	 "Bsg25D"	"protein_coding"
"FBgn0000229"	 "bsk"	"protein_coding"
"FBgn0000233"	 "btd"	"protein_coding"
"FBgn0000239"	 "bur"	"protein_coding"
"FBgn0000241"	 "bw"	"protein_coding"
"FBgn0000244"	 "by"	"protein_coding"
"FBgn0000246"	 "c(3)G"	"protein_coding"
"FBgn0000247"	 "ca"	"protein_coding"
"FBgn0000250"	 "cact"	"protein_coding"
"FBgn0000251"	 "cad"	"protein_coding"
"FBgn0000253"	 "Cam"	"protein_coding"
"FBgn0000256"	 "capu"	"protein_coding"
"FBgn0000257"	 "car"	"protein_coding"
"FBgn0000259"	 "CkIIbeta"	"protein_coding"
"FBgn0000261"	 "Cat"	"protein_coding"
"FBgn0000273"	 "Pka-C1"	"protein_coding"
"FBgn0000274"	 "Pka-C2"	"protein_coding"
"FBgn0000276"	 "CecA1"	"protein_coding"
"FBgn0000277"	 "CecA2"	"protein_coding"
"FBgn0000278"	 "CecB"	"protein_coding"
"FBgn0000279"	 "CecC"	"protein_coding"
"FBgn0000280"	 "Cec-Psi1"	"pseudogene"
"FBgn0000281"	 "Cec2"	"pseudogene"
"FBgn0000283"	 "Cp190"	"protein_coding"
"FBgn0000286"	 "Cf2"	"protein_coding"
"FBgn0000287"	 "salr"	"protein_coding"
"FBgn0000289"	 "cg"	"protein_coding"
"FBgn0000299"	 "Col4a1"	"protein_coding"
"FBgn0000303"	 "ChAT"	"protein_coding"
"FBgn0000307"	 "chif"	"protein_coding"
"FBgn0000308"	 "chic"	"protein_coding"
"FBgn0000316"	 "cin"	"protein_coding"
"FBgn0000317"	 "ck"	"protein_coding"
"FBgn0000318"	 "cl"	"protein_coding"
"FBgn0000319"	 "Chc"	"protein_coding"
"FBgn0000320"	 "eya"	"protein_coding"
"FBgn0000326"	 "clt"	"protein_coding"
"FBgn0000330"	 "cm"	"protein_coding"
"FBgn0000337"	 "cn"	"protein_coding"
"FBgn0000339"	 "cni"	"protein_coding"
"FBgn0000346"	 "comt"	"protein_coding"
"FBgn0000351"	 "cort"	"protein_coding"
"FBgn0000352"	 "cos"	"protein_coding"
"FBgn0000355"	 "Cp15"	"protein_coding"
"FBgn0000356"	 "Cp16"	"protein_coding"
"FBgn0000357"	 "Cp18"	"protein_coding"
"FBgn0000358"	 "Cp19"	"protein_coding"
"FBgn0000359"	 "Cp36"	"protein_coding"
"FBgn0000360"	 "Cp38"	"protein_coding"
"FBgn0000370"	 "crc"	"protein_coding"
"FBgn0000376"	 "crm"	"protein_coding"
"FBgn0000377"	 "crn"	"protein_coding"
"FBgn0000382"	 "csw"	"protein_coding"
"FBgn0000384"	 "cta"	"protein_coding"
"FBgn0000392"	 "cup"	"protein_coding"
"FBgn0000394"	 "cv"	"protein_coding"
"FBgn0000395"	 "cv-2"	"protein_coding"
"FBgn0000404"	 "CycA"	"protein_coding"
"FBgn0000405"	 "CycB"	"protein_coding"
"FBgn0000406"	 "Cyt-b5-r"	"protein_coding"
"FBgn0000411"	 "D"	"protein_coding"
"FBgn0000412"	 "D1"	"protein_coding"
"FBgn0000414"	 "Dab"	"protein_coding"
"FBgn0000416"	 "Sap-r"	"protein_coding"
"FBgn0000422"	 "Ddc"	"protein_coding"
"FBgn0000426"	 "SmF"	"protein_coding"
"FBgn0000427"	 "dec-1"	"protein_coding"
"FBgn0000439"	 "Dfd"	"protein_coding"
"FBgn0000442"	 "Pkg21D"	"protein_coding"
"FBgn0000447"	 "Dhod"	"protein_coding"
"FBgn0000448"	 "Hr3"	"protein_coding"
"FBgn0000449"	 "dib"	"protein_coding"
"FBgn0000451"	 "ect"	"protein_coding"
"FBgn0000454"	 "Dip-B"	"protein_coding"
"FBgn0000455"	 "Dip-C"	"protein_coding"
"FBgn0000459"	 "disco"	"protein_coding"
"FBgn0000463"	 "Dl"	"protein_coding"
"FBgn0000464"	 "Lar"	"protein_coding"
"FBgn0000473"	 "Cyp6a2"	"protein_coding"
"FBgn0000477"	 "DNaseII"	"protein_coding"
"FBgn0000479"	 "dnc"	"protein_coding"
"FBgn0000482"	 "dor"	"protein_coding"
"FBgn0000489"	 "Pka-C3"	"protein_coding"
"FBgn0000490"	 "dpp"	"protein_coding"
"FBgn0000492"	 "Dr"	"protein_coding"
"FBgn0000499"	 "dsh"	"protein_coding"
"FBgn0000500"	 "Dsk"	"protein_coding"
"FBgn0000504"	 "dsx"	"protein_coding"
"FBgn0000520"	 "dwg"	"protein_coding"
"FBgn0000524"	 "dx"	"protein_coding"
"FBgn0000527"	 "e"	"protein_coding"
"FBgn0000529"	 "bsh"	"protein_coding"
"FBgn0000533"	 "ea"	"protein_coding"
"FBgn0000535"	 "eag"	"protein_coding"
"FBgn0000536"	 "eas"	"protein_coding"
"FBgn0000541"	 "E(bx)"	"protein_coding"
"FBgn0000542"	 "ec"	"protein_coding"
