Gene	Name	Type
"Q0045"	 "COX1"	"protein_coding"
"Q0050"	 "AI1"	"protein_coding"
"Q0055"	 "AI2"	"protein_coding"
"Q0060"	 "AI3"	"protein_coding"
"Q0065"	 "AI4"	"protein_coding"
"Q0070"	 "AI5_ALPHA"	"protein_coding"
"Q0075"	 "AI5_BETA"	"protein_coding"
"Q0080"	 "ATP8"	"protein_coding"
"Q0085"	 "ATP6"	"protein_coding"
"Q0105"	 "COB"	"protein_coding"
"Q0110"	 "BI2"	"protein_coding"
"Q0115"	 "BI3"	"protein_coding"
"Q0120"	 "BI4"	"protein_coding"
"Q0130"	 "OLI1"	"protein_coding"
"Q0140"	 "VAR1"	"protein_coding"
"Q0160"	 "SCEI"	"protein_coding"
"Q0250"	 "COX2"	"protein_coding"
"Q0275"	 "COX3"	"protein_coding"
"YAL001C"	 "TFC3"	"protein_coding"
"YAL002W"	 "VPS8"	"protein_coding"
"YAL003W"	 "EFB1"	"protein_coding"
"YAL005C"	 "SSA1"	"protein_coding"
"YAL007C"	 "ERP2"	"protein_coding"
"YAL008W"	 "FUN14"	"protein_coding"
"YAL009W"	 "SPO7"	"protein_coding"
"YAL010C"	 "MDM10"	"protein_coding"
"YAL011W"	 "SWC3"	"protein_coding"
"YAL012W"	 "CYS3"	"protein_coding"
"YAL013W"	 "DEP1"	"protein_coding"
"YAL014C"	 "SYN8"	"protein_coding"
"YAL015C"	 "NTG1"	"protein_coding"
"YAL016W"	 "TPD3"	"protein_coding"
"YAL017W"	 "PSK1"	"protein_coding"
"YAL018C"	 "LDS1"	"protein_coding"
"YAL019W"	 "FUN30"	"protein_coding"
"YAL020C"	 "ATS1"	"protein_coding"
"YAL021C"	 "CCR4"	"protein_coding"
"YAL022C"	 "FUN26"	"protein_coding"
"YAL023C"	 "PMT2"	"protein_coding"
"YAL024C"	 "LTE1"	"protein_coding"
"YAL025C"	 "MAK16"	"protein_coding"
"YAL026C"	 "DRS2"	"protein_coding"
"YAL027W"	 "SAW1"	"protein_coding"
"YAL028W"	 "FRT2"	"protein_coding"
"YAL029C"	 "MYO4"	"protein_coding"
"YAL030W"	 "SNC1"	"protein_coding"
"YAL031C"	 "GIP4"	"protein_coding"
"YAL032C"	 "PRP45"	"protein_coding"
"YAL033W"	 "POP5"	"protein_coding"
"YAL034C"	 "FUN19"	"protein_coding"
"YAL034W-A"	 "MTW1"	"protein_coding"
"YAL035W"	 "FUN12"	"protein_coding"
"YAL036C"	 "RBG1"	"protein_coding"
"YAL038W"	 "CDC19"	"protein_coding"
"YAL039C"	 "CYC3"	"protein_coding"
"YAL040C"	 "CLN3"	"protein_coding"
"YAL041W"	 "CDC24"	"protein_coding"
"YAL042W"	 "ERV46"	"protein_coding"
"YAL043C"	 "PTA1"	"protein_coding"
"YAL044C"	 "GCV3"	"protein_coding"
"YAL046C"	 "AIM1"	"protein_coding"
"YAL047C"	 "SPC72"	"protein_coding"
"YAL048C"	 "GEM1"	"protein_coding"
"YAL049C"	 "AIM2"	"protein_coding"
"YAL051W"	 "OAF1"	"protein_coding"
"YAL053W"	 "FLC2"	"protein_coding"
"YAL054C"	 "ACS1"	"protein_coding"
"YAL055W"	 "PEX22"	"protein_coding"
"YAL056W"	 "GPB2"	"protein_coding"
"YAL058W"	 "CNE1"	"protein_coding"
"YAL059W"	 "ECM1"	"protein_coding"
"YAL060W"	 "BDH1"	"protein_coding"
"YAL061W"	 "BDH2"	"protein_coding"
"YAL062W"	 "GDH3"	"protein_coding"
"YAL063C"	 "FLO9"	"protein_coding"
"YAL064C-A"	 "TDA8"	"protein_coding"
"YAL067C"	 "SEO1"	"protein_coding"
"YAL068C"	 "PAU8"	"protein_coding"
"YAR002C-A"	 "ERP1"	"protein_coding"
"YAR002W"	 "NUP60"	"protein_coding"
"YAR003W"	 "SWD1"	"protein_coding"
"YAR007C"	 "RFA1"	"protein_coding"
"YAR008W"	 "SEN34"	"protein_coding"
"YAR014C"	 "BUD14"	"protein_coding"
"YAR015W"	 "ADE1"	"protein_coding"
"YAR018C"	 "KIN3"	"protein_coding"
"YAR019C"	 "CDC15"	"protein_coding"
"YAR020C"	 "PAU7"	"protein_coding"
"YAR027W"	 "UIP3"	"protein_coding"
"YAR031W"	 "PRM9"	"protein_coding"
"YAR033W"	 "MST28"	"protein_coding"
"YAR035W"	 "YAT1"	"protein_coding"
"YAR042W"	 "SWH1"	"protein_coding"
"YAR050W"	 "FLO1"	"protein_coding"
"YAR071W"	 "PHO11"	"protein_coding"
"YAR073W"	 "IMD1"	"protein_coding"
"YBL001C"	 "ECM15"	"protein_coding"
"YBL002W"	 "HTB2"	"protein_coding"
"YBL003C"	 "HTA2"	"protein_coding"
"YBL004W"	 "UTP20"	"protein_coding"
"YBL005W"	 "PDR3"	"protein_coding"
"YBL006C"	 "LDB7"	"protein_coding"
"YBL007C"	 "SLA1"	"protein_coding"
"YBL008W"	 "HIR1"	"protein_coding"
"YBL009W"	 "ALK2"	"protein_coding"
"YBL011W"	 "SCT1"	"protein_coding"
"YBL013W"	 "FMT1"	"protein_coding"
"YBL014C"	 "RRN6"	"protein_coding"
"YBL015W"	 "ACH1"	"protein_coding"
"YBL016W"	 "FUS3"	"protein_coding"
"YBL017C"	 "PEP1"	"protein_coding"
"YBL018C"	 "POP8"	"protein_coding"
"YBL019W"	 "APN2"	"protein_coding"
"YBL020W"	 "RFT1"	"protein_coding"
"YBL021C"	 "HAP3"	"protein_coding"
"YBL022C"	 "PIM1"	"protein_coding"
"YBL023C"	 "MCM2"	"protein_coding"
"YBL024W"	 "NCL1"	"protein_coding"
"YBL025W"	 "RRN10"	"protein_coding"
"YBL026W"	 "LSM2"	"protein_coding"
"YBL027W"	 "RPL19B"	"protein_coding"
"YBL030C"	 "PET9"	"protein_coding"
"YBL031W"	 "SHE1"	"protein_coding"
"YBL032W"	 "HEK2"	"protein_coding"
"YBL033C"	 "RIB1"	"protein_coding"
"YBL034C"	 "STU1"	"protein_coding"
"YBL035C"	 "POL12"	"protein_coding"
"YBL037W"	 "APL3"	"protein_coding"
"YBL038W"	 "MRPL16"	"protein_coding"
"YBL039C"	 "URA7"	"protein_coding"
"YBL040C"	 "ERD2"	"protein_coding"
