Gene	Name	Type
ENSG00000000003.15	TSPAN6	protein_coding
ENSG00000000005.6	TNMD	protein_coding
ENSG00000000419.12	DPM1	protein_coding
ENSG00000000457.14	SCYL3	protein_coding
ENSG00000000460.17	C1orf112	protein_coding
ENSG00000000938.13	FGR	protein_coding
ENSG00000000971.16	CFH	protein_coding
ENSG00000001036.14	FUCA2	protein_coding
ENSG00000001084.13	GCLC	protein_coding
ENSG00000001167.14	NFYA	protein_coding
ENSG00000001460.18	STPG1	protein_coding
ENSG00000001461.17	NIPAL3	protein_coding
ENSG00000001497.16	LAS1L	protein_coding
ENSG00000001561.7	ENPP4	protein_coding
ENSG00000001617.12	SEMA3F	protein_coding
ENSG00000001626.16	CFTR	protein_coding
ENSG00000001629.10	ANKIB1	protein_coding
ENSG00000001630.17	CYP51A1	protein_coding
ENSG00000001631.15	KRIT1	protein_coding
ENSG00000002016.18	RAD52	protein_coding
ENSG00000002079.14	MYH16	transcribed_unitary_pseudogene
ENSG00000002330.13	BAD	protein_coding
ENSG00000002549.12	LAP3	protein_coding
ENSG00000002586.20	CD99	protein_coding
ENSG00000002586.20_PAR_Y	CD99	protein_coding
ENSG00000002587.10	HS3ST1	protein_coding
ENSG00000002726.20	AOC1	protein_coding
ENSG00000002745.13	WNT16	protein_coding
ENSG00000002746.15	HECW1	protein_coding
ENSG00000002822.15	MAD1L1	protein_coding
ENSG00000002834.18	LASP1	protein_coding
ENSG00000002919.14	SNX11	protein_coding
ENSG00000002933.9	TMEM176A	protein_coding
ENSG00000003056.8	M6PR	protein_coding
ENSG00000003096.14	KLHL13	protein_coding
ENSG00000003137.8	CYP26B1	protein_coding
ENSG00000003147.19	ICA1	protein_coding
ENSG00000003249.14	DBNDD1	protein_coding
ENSG00000003393.15	ALS2	protein_coding
ENSG00000003400.15	CASP10	protein_coding
ENSG00000003402.20	CFLAR	protein_coding
ENSG00000003436.16	TFPI	protein_coding
ENSG00000003509.16	NDUFAF7	protein_coding
ENSG00000003756.17	RBM5	protein_coding
ENSG00000003987.14	MTMR7	protein_coding
ENSG00000003989.18	SLC7A2	protein_coding
ENSG00000004059.11	ARF5	protein_coding
ENSG00000004139.14	SARM1	protein_coding
ENSG00000004142.12	POLDIP2	protein_coding
ENSG00000004399.12	PLXND1	protein_coding
ENSG00000004455.17	AK2	protein_coding
ENSG00000004468.13	CD38	protein_coding
ENSG00000004478.8	FKBP4	protein_coding
ENSG00000004487.17	KDM1A	protein_coding
ENSG00000004534.15	RBM6	protein_coding
ENSG00000004660.15	CAMKK1	protein_coding
ENSG00000004700.16	RECQL	protein_coding
ENSG00000004766.17	VPS50	protein_coding
ENSG00000004776.13	HSPB6	protein_coding
ENSG00000004777.18	ARHGAP33	protein_coding
ENSG00000004779.10	NDUFAB1	protein_coding
ENSG00000004799.8	PDK4	protein_coding
ENSG00000004809.14	SLC22A16	protein_coding
ENSG00000004838.14	ZMYND10	protein_coding
ENSG00000004846.16	ABCB5	protein_coding
ENSG00000004848.8	ARX	protein_coding
ENSG00000004864.14	SLC25A13	protein_coding
ENSG00000004866.20	ST7	protein_coding
ENSG00000004897.12	CDC27	protein_coding
ENSG00000004939.15	SLC4A1	protein_coding
ENSG00000004948.15	CALCR	protein_coding
ENSG00000004961.15	HCCS	protein_coding
ENSG00000004975.12	DVL2	protein_coding
ENSG00000005001.10	PRSS22	protein_coding
ENSG00000005007.13	UPF1	protein_coding
ENSG00000005020.13	SKAP2	protein_coding
ENSG00000005022.6	SLC25A5	protein_coding
ENSG00000005059.16	MCUB	protein_coding
ENSG00000005073.6	HOXA11	protein_coding
ENSG00000005075.15	POLR2J	protein_coding
ENSG00000005100.13	DHX33	protein_coding
ENSG00000005102.14	MEOX1	protein_coding
ENSG00000005108.16	THSD7A	protein_coding
ENSG00000005156.12	LIG3	protein_coding
ENSG00000005175.10	RPAP3	protein_coding
ENSG00000005187.12	ACSM3	protein_coding
ENSG00000005189.19	REXO5	protein_coding
ENSG00000005194.15	CIAPIN1	protein_coding
ENSG00000005206.17	SPPL2B	protein_coding
ENSG00000005238.19	FAM214B	protein_coding
ENSG00000005243.10	COPZ2	protein_coding
