Gene	Name	Type
ENSRNOG00000017701	Asip	protein-coding
ENSRNOG00000028896;ENSRNOG00000045772	A2m	protein-coding
ENSRNOG00000011182	Aanat	protein-coding
ENSRNOG00000011929	Abcd3	protein-coding
ENSRNOG00000012966	Acadl	protein-coding
ENSRNOG00000009845	Acadm	protein-coding
ENSRNOG00000020624	Acadsb	protein-coding
ENSRNOG00000018114	Acadvl	protein-coding
ENSRNOG00000010633	Acsl1	protein-coding
ENSRNOG00000007862	Acat1	protein-coding
ENSRNOG00000058308	Asic2	protein-coding
ENSRNOG00000016924	Acly	protein-coding
ENSRNOG00000005849	Aco1	protein-coding
ENSRNOG00000005260	Acp1	protein-coding
ENSRNOG00000013594	Acp2	protein-coding
ENSRNOG00000046261	Acp5	protein-coding
ENSRNOG00000011820	Acp3	protein-coding
ENSRNOG00000029762	Acr	protein-coding
ENSRNOG00000017786	Acta1	protein-coding
ENSRNOG00000008536	Actc1	protein-coding
ENSRNOG00000029401	Actg2	protein-coding
ENSRNOG00000014477	Acvr2b	protein-coding
ENSRNOG00000028713	Acvrl1	protein-coding
ENSRNOG00000011189	Acy1	protein-coding
ENSRNOG00000010265	Ada	protein-coding
ENSRNOG00000054257	Adam10	protein-coding
ENSRNOG00000001227	Adarb1	protein-coding
ENSRNOG00000020401	Adcy4	protein-coding
ENSRNOG00000054757	Adcy6	protein-coding
ENSRNOG00000004890	Adcy8	protein-coding
ENSRNOG00000049882	Adcyap1	protein-coding
ENSRNOG00000012098	Adcyap1r1	protein-coding
ENSRNOG00000013039	Add1	protein-coding
ENSRNOG00000015903	Add2	protein-coding
ENSRNOG00000012820	Add3	protein-coding
ENSRNOG00000012436	Adh1c	protein-coding
ENSRNOG00000012325	Adk	protein-coding
ENSRNOG00000027030	Adm	protein-coding
ENSRNOG00000003442	Adora1	protein-coding
ENSRNOG00000001302	Adora2a	protein-coding
ENSRNOG00000002922	Adora2b	protein-coding
ENSRNOG00000015788;ENSRNOG00000050743	Adora3	protein-coding
ENSRNOG00000027260	Adprh	protein-coding
ENSRNOG00000003084	Parp1	protein-coding
ENSRNOG00000060087	Adra1b	protein-coding
ENSRNOG00000009522	Adra1a	protein-coding
ENSRNOG00000047545	Adra2a	protein-coding
ENSRNOG00000013887	Adra2b	protein-coding
ENSRNOG00000009299	Adra2c	protein-coding
ENSRNOG00000017002	Adrb1	protein-coding
ENSRNOG00000019217	Adrb2	protein-coding
ENSRNOG00000012674	Adrb3	protein-coding
ENSRNOG00000018985	Grk2	protein-coding
ENSRNOG00000059456	Grk3	protein-coding
ENSRNOG00000008786	Ap1b1	protein-coding
ENSRNOG00000002889	Afp	protein-coding
ENSRNOG00000020205	Agrn	protein-coding
ENSRNOG00000039001	Agrp	protein-coding
ENSRNOG00000018445	Agt	protein-coding
ENSRNOG00000018346	Agtr1a	protein-coding
ENSRNOG00000010640	Agtr1b	protein-coding
ENSRNOG00000050006	Agtr2	protein-coding
ENSRNOG00000023856	Agxt	protein-coding
ENSRNOG00000004342	Ahr	protein-coding
ENSRNOG00000038370	Ahsg	protein-coding
ENSRNOG00000049056	Ak1	protein-coding
ENSRNOG00000000122	Ak2	protein-coding
ENSRNOG00000045738	Ak4	protein-coding
ENSRNOG00000009987	Akap11	protein-coding
ENSRNOG00000028629	Akt1	protein-coding
ENSRNOG00000018677	Akt2	protein-coding
ENSRNOG00000015206	Alad	protein-coding
ENSRNOG00000000167	Alas2	protein-coding
ENSRNOG00000002911	Alb	protein-coding
ENSRNOG00000017619	Aldh1a1	protein-coding
ENSRNOG00000002331	Aldh3a1	protein-coding
ENSRNOG00000052802	Aldoa	protein-coding
ENSRNOG00000006807	Aldob	protein-coding
ENSRNOG00000011452	Aldoc	protein-coding
ENSRNOG00000009513	Akr1b1	protein-coding
ENSRNOG00000012972	Alox5	protein-coding
ENSRNOG00000000907	Alox5ap	protein-coding
ENSRNOG00000030020	Alpi	protein-coding
ENSRNOG00000013954	Alpl	protein-coding
ENSRNOG00000003718	Ambn	protein-coding
ENSRNOG00000006889	Ambp	protein-coding
ENSRNOG00000000585	Amd1	protein-coding
ENSRNOG00000003965	Amelx	protein-coding
ENSRNOG00000019377	Amh	protein-coding
ENSRNOG00000018656	Ampd1	protein-coding
ENSRNOG00000019240	Ampd2	protein-coding
ENSRNOG00000018262	Ampd3	protein-coding
ENSRNOG00000033529;ENSRNOG00000064517	Amy1	protein-coding
ENSRNOG00000031840	Andpro	protein-coding
ENSRNOG00000017469	Anxa1	protein-coding
ENSRNOG00000002045	Anxa3	protein-coding
ENSRNOG00000014453	Anxa5	protein-coding
ENSRNOG00000018020	Apbb1	protein-coding
ENSRNOG00000020423	Apc	protein-coding
ENSRNOG00000019850	Speg	protein-coding
ENSRNOG00000029572	Apeh	protein-coding
ENSRNOG00000009663	Apex1	protein-coding
ENSRNOG00000047179	Aplp2	protein-coding
ENSRNOG00000005542	Apob	protein-coding
ENSRNOG00000045679	Apoa1	protein-coding
ENSRNOG00000003500	Apoa2	protein-coding
ENSRNOG00000055909	Apoa4	protein-coding
ENSRNOG00000015411	Apobec1	protein-coding
ENSRNOG00000018426	Apoc1	protein-coding
ENSRNOG00000018402	Apoc2	protein-coding
ENSRNOG00000047503	Apoc3	protein-coding
ENSRNOG00000048273	Apod	protein-coding
ENSRNOG00000018454	Apoe	protein-coding
ENSRNOG00000006997	App	protein-coding
ENSRNOG00000011648	Aqp1	protein-coding
ENSRNOG00000054378	Aqp2	protein-coding
ENSRNOG00000016043	Aqp4	protein-coding
ENSRNOG00000051970	Aqp5	protein-coding
ENSRNOG00000009686	Aqp7	protein-coding
ENSRNOG00000014652	Aqp8	protein-coding
ENSRNOG00000005639	Ar	protein-coding
ENSRNOG00000010838	Araf	protein-coding
ENSRNOG00000002754	Areg	protein-coding
ENSRNOG00000013304	Arg1	protein-coding
ENSRNOG00000053811	Arg2	protein-coding
ENSRNOG00000004282;ENSRNOG00000069300	Arl4a	protein-coding
ENSRNOG00000031174	Arnt	protein-coding
ENSRNOG00000013017;ENSRNOG00000063992	Arnt2	protein-coding
ENSRNOG00000000991	Arpc1b	protein-coding
ENSRNOG00000030404	Arrb1	protein-coding
ENSRNOG00000019308	Arrb2	protein-coding
ENSRNOG00000011150	Arsb	protein-coding
ENSRNOG00000020434	Ascl2	protein-coding
ENSRNOG00000018693	Asgr1	protein-coding
ENSRNOG00000030726	Asgr2	protein-coding
ENSRNOG00000007546	Asns	protein-coding
ENSRNOG00000008837	Ass1	protein-coding
ENSRNOG00000003745	Atf3	protein-coding
ENSRNOG00000030019	Atp1a1	protein-coding
ENSRNOG00000007290	Atp1a2	protein-coding
ENSRNOG00000020263	Atp1a3	protein-coding
ENSRNOG00000002934	Atp1b1	protein-coding
ENSRNOG00000011227	Atp1b2	protein-coding
ENSRNOG00000011501	Atp1b3	protein-coding
ENSRNOG00000016469	Fxyd2	protein-coding
ENSRNOG00000001285	Atp2a2	protein-coding
ENSRNOG00000017912	Atp2a3	protein-coding
ENSRNOG00000030269	Atp2b2	protein-coding
ENSRNOG00000020985	Atp4a	protein-coding
ENSRNOG00000018543	Atp4b	protein-coding
ENSRNOG00000061367	Atp7a	protein-coding
ENSRNOG00000012878	Atp7b	protein-coding
ENSRNOG00000013300	Atp5if1	protein-coding
ENSRNOG00000021229	Avp	protein-coding
ENSRNOG00000004400	Avpr1a	protein-coding
ENSRNOG00000059862	Avpr2	protein-coding
ENSRNOG00000001333	Azgp1	protein-coding
ENSRNOG00000017123	B2m	protein-coding
ENSRNOG00000007395	Baat	protein-coding
ENSRNOG00000016847	Bace1	protein-coding
ENSRNOG00000020876	Bax	protein-coding
Bc1	Bc1	ncrna
ENSRNOG00000018798;ENSRNOG00000058727	Bcan	protein-coding
ENSRNOG00000015514	Bcat1	protein-coding
ENSRNOG00000020607	Bckdha	protein-coding
ENSRNOG00000009928	Bckdhb	protein-coding
ENSRNOG00000019485	Bckdk	protein-coding
ENSRNOG00000002791;ENSRNOG00000067693	Bcl2	protein-coding
ENSRNOG00000007946	Bcl2l1	protein-coding
ENSRNOG00000047300	Bdkrb2	protein-coding
ENSRNOG00000047466	Bdnf	protein-coding
ENSRNOG00000011008	Bet1	protein-coding
ENSRNOG00000000419;ENSRNOG00000051158;ENSRNOG00000051235	Cfb	protein-coding
ENSRNOG00000005707	Bfsp1	protein-coding
ENSRNOG00000019607	Bglap	protein-coding
ENSRNOG00000055962	Bgn	protein-coding
ENSRNOG00000031171	Wdr46	protein-coding
ENSRNOG00000021276;ENSRNOG00000071010	Bmp2	protein-coding
ENSRNOG00000002381	Bmp3	protein-coding
ENSRNOG00000009694	Bmp4	protein-coding
ENSRNOG00000013717	Bmp6	protein-coding
ENSRNOG00000020701	Brca1	protein-coding
ENSRNOG00000001111	Brca2	protein-coding
ENSRNOG00000008414	Bsg	protein-coding
ENSRNOG00000005700	Nsg1	protein-coding
ENSRNOG00000030714	Bsn	protein-coding
ENSRNOG00000004284	Btg1	protein-coding
ENSRNOG00000003300	Btg2	protein-coding
ENSRNOG00000001555	Btg3	protein-coding
ENSRNOG00000010549	Tspo	protein-coding
ENSRNOG00000012749	C1qb	protein-coding
ENSRNOG00000006949	C1qbp	protein-coding
ENSRNOG00000051235	C2	protein-coding
ENSRNOG00000046834	C3	protein-coding
ENSRNOG00000004062	C4bpa	protein-coding
ENSRNOG00000004125	C4bpb	protein-coding
ENSRNOG00000018899	C5	protein-coding
ENSRNOG00000024115	C6	protein-coding
ENSRNOG00000007639	C8b	protein-coding
ENSRNOG00000009629	Car2	protein-coding
ENSRNOG00000010079	Car3	protein-coding
ENSRNOG00000002916	Car4	protein-coding
ENSRNOG00000019098	Car5a	protein-coding
ENSRNOG00000052707	Cacna1a	protein-coding
ENSRNOG00000007090	Cacna1c	protein-coding
ENSRNOG00000002863	Cacna1e	protein-coding
ENSRNOG00000033531	Cacna2d1	protein-coding
ENSRNOG00000054274	Cacnb3	protein-coding
ENSRNOG00000003245	Cacng1	protein-coding
ENSRNOG00000057125	Ddr1	protein-coding
ENSRNOG00000004222	S100g	protein-coding
ENSRNOG00000011130	Calca	protein-coding
ENSRNOG00000054695	Calcrl	protein-coding
ENSRNOG00000010233	Cald1	protein-coding
ENSRNOG00000004060	Calm1	protein-coding
ENSRNOG00000004060;ENSRNOG00000030871;ENSRNOG00000067086	Calm2	protein-coding
ENSRNOG00000004060;ENSRNOG00000016770	Calm3	protein-coding
ENSRNOG00000018712	Camk2a	protein-coding
ENSRNOG00000052080	Camk2b	protein-coding
ENSRNOG00000011589	Camk2d	protein-coding
ENSRNOG00000020478	Camk4	protein-coding
Calm2-ps1	Calm2-ps1	pseudo
ENSRNOG00000003343	Canx	protein-coding
ENSRNOG00000020935	Capn1	protein-coding
ENSRNOG00000034015	Capn2	protein-coding
ENSRNOG00000008609	Capn3	protein-coding
ENSRNOG00000048194;ENSRNOG00000067065	Capns1	protein-coding
ENSRNOG00000008727;ENSRNOG00000067096	Capza3	protein-coding
