Gene	Name	Type
ENSMUSG00000000001	Gnai3	protein_coding
ENSMUSG00000000003	Pbsn	protein_coding
ENSMUSG00000000028	Cdc45	protein_coding
ENSMUSG00000000031	H19	lincRNA
ENSMUSG00000000037	Scml2	protein_coding
ENSMUSG00000000049	Apoh	protein_coding
ENSMUSG00000000056	Narf	protein_coding
ENSMUSG00000000058	Cav2	protein_coding
ENSMUSG00000000078	Klf6	protein_coding
ENSMUSG00000000085	Scmh1	protein_coding
ENSMUSG00000000088	Cox5a	protein_coding
ENSMUSG00000000093	Tbx2	protein_coding
ENSMUSG00000000094	Tbx4	protein_coding
ENSMUSG00000000103	Zfy2	protein_coding
ENSMUSG00000000120	Ngfr	protein_coding
ENSMUSG00000000125	Wnt3	protein_coding
ENSMUSG00000000126	Wnt9a	protein_coding
ENSMUSG00000000127	Fer	protein_coding
ENSMUSG00000000131	Xpo6	protein_coding
ENSMUSG00000000134	Tfe3	protein_coding
ENSMUSG00000000142	Axin2	protein_coding
ENSMUSG00000000148	Brat1	protein_coding
ENSMUSG00000000149	Gna12	protein_coding
ENSMUSG00000000154	Slc22a18	protein_coding
ENSMUSG00000000157	Itgb2l	protein_coding
ENSMUSG00000000159	Igsf5	protein_coding
ENSMUSG00000000167	Pih1d2	protein_coding
ENSMUSG00000000168	Dlat	protein_coding
ENSMUSG00000000171	Sdhd	protein_coding
ENSMUSG00000000182	Fgf23	protein_coding
ENSMUSG00000000183	Fgf6	protein_coding
ENSMUSG00000000184	Ccnd2	protein_coding
ENSMUSG00000000194	Gpr107	protein_coding
ENSMUSG00000000197	Nalcn	protein_coding
ENSMUSG00000000202	Btbd17	protein_coding
ENSMUSG00000000204	Slfn4	protein_coding
ENSMUSG00000000214	Th	protein_coding
ENSMUSG00000000215	Ins2	protein_coding
ENSMUSG00000000216	Scnn1g	protein_coding
ENSMUSG00000000223	Drp2	protein_coding
ENSMUSG00000000244	Tspan32	protein_coding
ENSMUSG00000000247	Lhx2	protein_coding
ENSMUSG00000000248	Clec2g	protein_coding
ENSMUSG00000000253	Gmpr	protein_coding
ENSMUSG00000000263	Glra1	protein_coding
