Gene	Name	Type
DDX11L16	DDX11L16	NA
LOC124908905	LOC124908905	NA
WASIR1	WASIR1	NA
IL9R	IL9R	NA
TRPC6P1	TRPC6P1	NA
ELOCP24	ELOCP24	NA
LOC124905309	LOC124905309	NA
VAMP7	VAMP7	NA
DPH3P2	DPH3P2	NA
AMD1P2	AMD1P2	NA
LOC124908904	LOC124908904	NA
SPRY3	SPRY3	NA
CTBP2P1	CTBP2P1	NA
LOC105369226	LOC105369226	NA
LOC124908987	LOC124908987	NA
LOC124909230	LOC124909230	NA
LOC124909232	LOC124909232	NA
LOC124909233	LOC124909233	NA
LOC124909231	LOC124909231	NA
LOC124909229	LOC124909229	NA
LOC124909228	LOC124909228	NA
LOC124908579	LOC124908579	NA
LOC124908578	LOC124908578	NA
LOC124908580	LOC124908580	NA
LOC124908629	LOC124908629	NA
LOC124909121	LOC124909121	NA
LOC124909124	LOC124909124	NA
LOC124909122	LOC124909122	NA
LOC124909123	LOC124909123	NA
LOC124908624	LOC124908624	NA
LOC124909083	LOC124909083	NA
LOC124909079	LOC124909079	NA
LOC124909080	LOC124909080	NA
LOC124909082	LOC124909082	NA
LOC124909081	LOC124909081	NA
LOC124909078	LOC124909078	NA
LOC124908571	LOC124908571	NA
LOC124908569	LOC124908569	NA
LOC124908570	LOC124908570	NA
LOC124909075	LOC124909075	NA
LOC124909076	LOC124909076	NA
LOC124909074	LOC124909074	NA
LOC124908681	LOC124908681	NA
LOC124908682	LOC124908682	NA
LOC124909261	LOC124909261	NA
LOC124909118	LOC124909118	NA
LOC124909115	LOC124909115	NA
LOC124909114	LOC124909114	NA
LOC124909116	LOC124909116	NA
LOC124909117	LOC124909117	NA
LOC124909113	LOC124909113	NA
LOC124909195	LOC124909195	NA
LOC124909194	LOC124909194	NA
LOC124909190	LOC124909190	NA
LOC124909193	LOC124909193	NA
LOC124909192	LOC124909192	NA
LOC124909191	LOC124909191	NA
LOC124908797	LOC124908797	NA
LOC124908798	LOC124908798	NA
LOC124908799	LOC124908799	NA
LOC124908796	LOC124908796	NA
LOC124908795	LOC124908795	NA
LOC124908794	LOC124908794	NA
LOC124908792	LOC124908792	NA
LOC124908793	LOC124908793	NA
LOC124908789	LOC124908789	NA
LOC124908787	LOC124908787	NA
LOC124908790	LOC124908790	NA
LOC124908791	LOC124908791	NA
LOC124908788	LOC124908788	NA
LOC124908786	LOC124908786	NA
LOC124908784	LOC124908784	NA
LOC124908785	LOC124908785	NA
LOC124908782	LOC124908782	NA
LOC124908783	LOC124908783	NA
LOC124909290	LOC124909290	NA
LOC124908598	LOC124908598	NA
LOC124908596	LOC124908596	NA
LOC124908597	LOC124908597	NA
LOC124909017	LOC124909017	NA
LOC124909283	LOC124909283	NA
LOC124909031	LOC124909031	NA
LOC124909026	LOC124909026	NA
LOC124909029	LOC124909029	NA
LOC124909027	LOC124909027	NA
LOC124909030	LOC124909030	NA
LOC124909023	LOC124909023	NA
LOC124909024	LOC124909024	NA
LOC124909028	LOC124909028	NA
LOC124909025	LOC124909025	NA
LOC124909260	LOC124909260	NA
LOC124909258	LOC124909258	NA
LOC124909257	LOC124909257	NA
LOC124909255	LOC124909255	NA
LOC124909256	LOC124909256	NA
LOC124909259	LOC124909259	NA
LOC124909016	LOC124909016	NA
LOC124908972	LOC124908972	NA
LOC124908971	LOC124908971	NA
LOC124908970	LOC124908970	NA
LOC124908968	LOC124908968	NA
LOC124908969	LOC124908969	NA
LOC124908966	LOC124908966	NA
LOC124908967	LOC124908967	NA
LOC124909289	LOC124909289	NA
LOC124908589	LOC124908589	NA
LOC124908587	LOC124908587	NA
LOC124908588	LOC124908588	NA
LOC124909018	LOC124909018	NA
LOC124909288	LOC124909288	NA
LOC124908601	LOC124908601	NA
LOC124908599	LOC124908599	NA
LOC124908600	LOC124908600	NA
LOC124909052	LOC124909052	NA
LOC124909049	LOC124909049	NA
LOC124909053	LOC124909053	NA
LOC124909047	LOC124909047	NA
LOC124909048	LOC124909048	NA
LOC124909051	LOC124909051	NA
LOC124909050	LOC124909050	NA
LOC124909303	LOC124909303	NA
LOC124909302	LOC124909302	NA
LOC124909300	LOC124909300	NA
LOC124909301	LOC124909301	NA
LOC124909304	LOC124909304	NA
LOC124908888	LOC124908888	NA
LOC124908942	LOC124908942	NA
LOC124908943	LOC124908943	NA
LOC124908941	LOC124908941	NA
LOC124908939	LOC124908939	NA
LOC124908940	LOC124908940	NA
LOC124908938	LOC124908938	NA
LOC124909215	LOC124909215	NA
LOC124909214	LOC124909214	NA
LOC124908595	LOC124908595	NA
LOC124908593	LOC124908593	NA
LOC124908594	LOC124908594	NA
LOC124909110	LOC124909110	NA
LOC124909111	LOC124909111	NA
LOC124909109	LOC124909109	NA
LOC124909108	LOC124909108	NA
LOC124909107	LOC124909107	NA
LOC124909007	LOC124909007	NA
LOC124909009	LOC124909009	NA
LOC124909011	LOC124909011	NA
LOC124909010	LOC124909010	NA
LOC124909014	LOC124909014	NA
LOC124909013	LOC124909013	NA
LOC124909012	LOC124909012	NA
LOC124909008	LOC124909008	NA
LOC124909158	LOC124909158	NA
LOC124909157	LOC124909157	NA
LOC124909156	LOC124909156	NA
LOC124909155	LOC124909155	NA
LOC124909106	LOC124909106	NA
LOC124909005	LOC124909005	NA
LOC124909001	LOC124909001	NA
LOC124909006	LOC124909006	NA
