# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "example_data/genome/mm10_chr19/gencode.vM25.primary_assembly.annotation.ch19.gtf" "-o" "feature_count/counts.s2.strict.txt" "-T" "4" "-g" "gene_id" "-Q" "20" "--minOverlap" "1" "--fracOverlap" "0" "-p" "-B" "-C" "-s" "2" "mapped_reads/KO_D0_1_S2.bam" "mapped_reads/KO_D0_2_S8.bam" "mapped_reads/KO_D2_1_S4.bam" "mapped_reads/KO_D2_2_S10.bam" "mapped_reads/KO_D8_1_S6.bam" "mapped_reads/KO_D8_2_S12.bam" "mapped_reads/WT_D0_1_S1.bam" "mapped_reads/WT_D0_2_S7.bam" "mapped_reads/WT_D2_1_S3.bam" "mapped_reads/WT_D2_2_S9.bam" "mapped_reads/WT_D8_1_S5.bam" "mapped_reads/WT_D8_2_S11.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped_reads/KO_D0_1_S2.bam	mapped_reads/KO_D0_2_S8.bam	mapped_reads/KO_D2_1_S4.bam	mapped_reads/KO_D2_2_S10.bam	mapped_reads/KO_D8_1_S6.bam	mapped_reads/KO_D8_2_S12.bam	mapped_reads/WT_D0_1_S1.bam	mapped_reads/WT_D0_2_S7.bam	mapped_reads/WT_D2_1_S3.bam	mapped_reads/WT_D2_2_S9.bam	mapped_reads/WT_D8_1_S5.bam	mapped_reads/WT_D8_2_S11.bam
ENSMUSG00000100969.7	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3053071;3059880;3065711;3065711;3069367;3069367;3069367;3072688;3072688;3072688;3075714;3145868;3145870;3145946;3147633;3149813;3150764;3151507;3152028;3153208;3153799;3153931;3153931;3153931;3153931;3159930;3159941;3196945;3196945;3196945;3196945;3196945;3196945;3196945;3197605;3197605;3197605;3197605;3197605;3197605;3197605	3053278;3059991;3068149;3068149;3069440;3069440;3069440;3072953;3072953;3072953;3075885;3146265;3146265;3146265;3147682;3150006;3151021;3151699;3152094;3153401;3154009;3154009;3154009;3154009;3154009;3160181;3160190;3197029;3197029;3197029;3197029;3197029;3197029;3197029;3197703;3197698;3197698;3197716;3197714;3197714;3197732	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5310	0	2	2	1	0	1	0	0	0	3	0	0
ENSMUSG00000117761.1	chr19	3134645	3134959	+	315	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093983.1	chr19	3136984	3137090	-	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118182.1	chr19	3142760	3143065	+	306	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000117928.1	chr19	3156623	3157012	+	390	0	0	1	0	0	0	0	0	1	0	0	0
ENSMUSG00000118393.1	chr19	3184959	3185273	+	315	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000118052.1	chr19;chr19	3205607;3205793	3206258;3206070	+;+	652	13	8	6	9	7	4	6	8	6	10	9	9
ENSMUSG00000118203.1	chr19	3248804	3250214	+	1411	0	0	0	0	0	1	0	0	0	3	0	0
ENSMUSG00000117886.1	chr19	3253518	3255067	-	1550	1	2	5	0	0	4	1	3	2	2	3	2
ENSMUSG00000024831.14	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	3259076;3260924;3261975;3264811;3264811;3264818;3265364;3266336;3266336;3266336;3266336;3267242;3267242;3267242;3267242;3268298;3268298;3268298;3268660;3268660;3268660;3271526;3271526;3271526;3272888;3272888;3272888;3274356;3274356;3274356;3276756;3276756;3276756;3279533;3279533;3279807;3279807;3279807;3281419;3281419;3281419;3282701;3282701;3282701	3261635;3261635;3262144;3265665;3265665;3265665;3265665;3266459;3266459;3266459;3266459;3267336;3267716;3267336;3267336;3268416;3268416;3268416;3268842;3268842;3268842;3271700;3271700;3271700;3273035;3273035;3273035;3274556;3274556;3274556;3276919;3276919;3276919;3279630;3279630;3279996;3279996;3279996;3281588;3281588;3281588;3282980;3282979;3283017	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	5949	422	343	338	430	314	351	373	348	287	339	257	306
