ID	Name	Desc
LL0000000001	a1cf	apobec1 complementation factor
LL0000000002	a2ml	alpha-2-macroglobulin-like
LL0000000003	aaas	achalasia, adrenocortical insufficiency, alacrimia
LL0000000004	aacs	acetoacetyl-CoA synthetase
LL0000000005	aadac	arylacetamide deacetylase
LL0000000006	aadacl4	arylacetamide deacetylase-like 4
LL0000000007	aadat	aminoadipate aminotransferase
LL0000000008	aagab	alpha and gamma adaptin binding protein
LL0000000009	aak1a	AP2 associated kinase 1a
LL0000000010	aak1b	AP2 associated kinase 1b
LL0000000011	aamdc	adipogenesis associated, Mth938 domain containing
LL0000000012	aamp	angio-associated, migratory cell protein
LL0000000013	aanat1	arylalkylamine N-acetyltransferase 1
LL0000000014	aanat2	arylalkylamine N-acetyltransferase 2
LL0000000015	aar2	AAR2 splicing factor
LL0000000016	aars	alanyl-tRNA synthetase [Source:ZFIN;Acc:ZDB-GENE-030131-3663]
LL0000000017	aars2	alanyl-tRNA synthetase 2, mitochondrial (putative)
LL0000000018	aarsd1	alanyl-tRNA synthetase domain containing 1
LL0000000019	aasdh	aminoadipate-semialdehyde dehydrogenase
LL0000000020	aasdhppt	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
LL0000000021	aass	aminoadipate-semialdehyde synthase
LL0000000022	aatf	apoptosis antagonizing transcription factor
LL0000000023	aatka	apoptosis-associated tyrosine kinase a
LL0000000024	aatkb	apoptosis-associated tyrosine kinase b
LL0000000025	abat	4-aminobutyrate aminotransferase
LL0000000026	abca12	ATP-binding cassette, sub-family A (ABC1), member 12
LL0000000027	abca1a	ATP-binding cassette, sub-family A (ABC1), member 1A
LL0000000028	abca1b	ATP-binding cassette, sub-family A (ABC1), member 1B
LL0000000029	abca2	ATP-binding cassette, sub-family A (ABC1), member 2
LL0000000030	abca3b	ATP-binding cassette, sub-family A (ABC1), member 3b
LL0000000031	abca4a	ATP-binding cassette, sub-family A (ABC1), member 4a
LL0000000032	abca4b	ATP-binding cassette, sub-family A (ABC1), member 4b
LL0000000033	abca5	ATP-binding cassette, sub-family A (ABC1), member 5
LL0000000034	abcb10	ATP-binding cassette, sub-family B (MDR/TAP), member 10
LL0000000035	abcb11a	ATP-binding cassette, sub-family B (MDR/TAP), member 11a
LL0000000036	abcb11b	ATP-binding cassette, sub-family B (MDR/TAP), member 11b
LL0000000037	abcb4	ATP-binding cassette, sub-family B (MDR/TAP), member 4
LL0000000038	abcb5	ATP-binding cassette, sub-family B (MDR/TAP), member 5
LL0000000039	abcb6a	ATP-binding cassette, sub-family B (MDR/TAP), member 6a
LL0000000040	abcb6b	ATP-binding cassette, sub-family B (MDR/TAP), member 6b
LL0000000041	abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7
LL0000000042	abcb8	ATP-binding cassette, sub-family B (MDR/TAP), member 8
LL0000000043	abcb9	ATP-binding cassette, sub-family B (MDR/TAP), member 9
LL0000000044	abcc1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1
LL0000000045	abcc10	ATP-binding cassette, sub-family C (CFTR/MRP), member 10
LL0000000046	abcc12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12
LL0000000047	abcc13	ATP-binding cassette, sub-family C (CFTR/MRP), member 13
LL0000000048	abcc2	ATP-binding cassette, sub-family C (CFTR/MRP), member 2
LL0000000049	abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
LL0000000050	abcc4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
LL0000000051	abcc5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5
LL0000000052	abcc6a	ATP-binding cassette, sub-family C (CFTR/MRP), member 6a
LL0000000053	abcc6b.1	ATP-binding cassette, sub-family C (CFTR/MRP), member 6b, tandem duplicate 1
LL0000000054	abcc6b.2	ATP-binding cassette, sub-family C (CFTR/MRP), member 6b, tandem duplicate 2
LL0000000055	abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8
LL0000000056	abcc8b	ATP-binding cassette, sub-family C (CFTR/MRP), member 8b
LL0000000057	abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9
LL0000000058	abcd1	ATP-binding cassette, sub-family D (ALD), member 1
LL0000000059	abcd2	ATP-binding cassette, sub-family D (ALD), member 2
LL0000000060	ABCD2 (1 of many)	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]
LL0000000061	abcd3a	ATP-binding cassette, sub-family D (ALD), member 3a
LL0000000062	abcd3b	ATP-binding cassette, sub-family D (ALD), member 3b
LL0000000063	abcd4	ATP-binding cassette, sub-family D (ALD), member 4
LL0000000064	abce1	ATP-binding cassette, sub-family E (OABP), member 1
LL0000000065	abcf1	ATP-binding cassette, sub-family F (GCN20), member 1
LL0000000066	abcf2a	ATP-binding cassette, sub-family F (GCN20), member 2a
LL0000000067	abcf2b	ATP-binding cassette, sub-family F (GCN20), member 2b
LL0000000068	abcf3	ATP-binding cassette, sub-family F (GCN20), member 3
LL0000000069	abcg1	ATP-binding cassette, sub-family G (WHITE), member 1
LL0000000070	abcg2a	ATP-binding cassette, sub-family G (WHITE), member 2a
LL0000000071	abcg2b	ATP-binding cassette, sub-family G (WHITE), member 2b
LL0000000072	abcg2c	ATP-binding cassette, sub-family G (WHITE), member 2c
LL0000000073	abcg2d	ATP-binding cassette, sub-family G (WHITE), member 2d
LL0000000074	abcg4a	ATP-binding cassette, sub-family G (WHITE), member 4a
LL0000000075	abcg4b	ATP-binding cassette, sub-family G (WHITE), member 4b
LL0000000076	abcg5	ATP-binding cassette, sub-family G (WHITE), member 5
LL0000000077	abcg8	ATP-binding cassette, sub-family G (WHITE), member 8
LL0000000078	abch1	ATP-binding cassette, sub-family H, member 1
LL0000000079	abhd10a	abhydrolase domain containing 10a
LL0000000080	abhd10b	abhydrolase domain containing 10b
LL0000000081	abhd11	abhydrolase domain containing 11
LL0000000082	abhd12	abhydrolase domain containing 12
LL0000000083	abhd13	abhydrolase domain containing 13
LL0000000084	abhd14a	abhydrolase domain containing 14A
LL0000000085	abhd14b	abhydrolase domain containing 14B
LL0000000086	abhd15a	abhydrolase domain containing 15a
LL0000000087	abhd16a	abhydrolase domain containing 16A
LL0000000088	abhd17aa	abhydrolase domain containing 17Aa
LL0000000089	abhd17ab	abhydrolase domain containing 17Ab
LL0000000090	abhd17b	abhydrolase domain containing 17B
LL0000000091	abhd17c	abhydrolase domain containing 17C
LL0000000092	abhd18	abhydrolase domain containing 18
LL0000000093	abhd2a	abhydrolase domain containing 2a
LL0000000094	abhd2b	abhydrolase domain containing 2b
LL0000000095	abhd3	abhydrolase domain containing 3
LL0000000096	abhd4	abhydrolase domain containing 4
LL0000000097	abhd6a	abhydrolase domain containing 6a
LL0000000098	abhd6b	abhydrolase domain containing 6b
LL0000000099	abhd8a	abhydrolase domain containing 8a
LL0000000100	abhd8b	abhydrolase domain containing 8b
LL0000000101	abi1a	abl-interactor 1a
LL0000000102	abi1b	abl-interactor 1b
LL0000000103	abi2a	abl-interactor 2a
LL0000000104	abi2b	abl-interactor 2b
