Gene	Name	Type	Chr	Start	End
gene:AT1G01010	NAC001-201	protein_coding	1	3631	5899
gene:AT1G01020	ARV1-202	protein_coding	1	6788	8737
gene:AT1G01020	ARV1-201	protein_coding	1	6788	8737
gene:AT1G01020	ARV1-206	protein_coding	1	6788	9130
gene:AT1G01020	ARV1-203	protein_coding	1	6788	9130
gene:AT1G01020	ARV1-205	protein_coding	1	6788	9130
gene:AT1G01020	ARV1-204	protein_coding	1	6788	9130
gene:AT1G03987	AT1G03987-201	lncRNA	1	11101	11372
gene:AT1G01030	NGA3-201	protein_coding	1	11649	13714
gene:AT1G01030	NGA3-202	protein_coding	1	11649	13714
gene:AT1G01040	DCL1-201	protein_coding	1	23121	31227
gene:AT1G03993	AT1G03993-201	lncRNA	1	23312	24099
gene:AT1G01040	DCL1-202	protein_coding	1	23416	31120
gene:AT1G01046	ath-MIR838-201	miRNA	1	28500	28706
gene:AT1G01050	PPa1-201	protein_coding	1	31170	33171
gene:AT1G01050	PPa1-202	protein_coding	1	31382	33009
gene:AT1G03997	AT1G03997-201	lncRNA	1	32727	33009
gene:AT1G01060	LHY-201	protein_coding	1	33365	37871
gene:AT1G01060	LHY-202	protein_coding	1	33379	37757
gene:AT1G01060	LHY-203	protein_coding	1	33662	37840
gene:AT1G01060	LHY-204	protein_coding	1	33662	37871
gene:AT1G01060	LHY-206	protein_coding	1	33666	37780
gene:AT1G01060	LHY-205	protein_coding	1	33666	37780
gene:AT1G01060	LHY-207	protein_coding	1	33967	37230
gene:AT1G01060	LHY-208	protein_coding	1	33967	37871
gene:AT1G01070	UMAMIT28-201	protein_coding	1	38444	41017
gene:AT1G01070	UMAMIT28-202	protein_coding	1	38752	40945
gene:AT1G04003	AT1G04003-201	lncRNA	1	43087	43295
gene:AT1G01080	AT1G01080-202	protein_coding	1	44970	47059
gene:AT1G01080	AT1G01080-201	protein_coding	1	44970	47059
gene:AT1G01080	AT1G01080-203	protein_coding	1	45296	47019
gene:AT1G01090	PDH-E1 ALPHA-201	protein_coding	1	47234	49304
gene:AT1G01100	AT1G01100-201	protein_coding	1	49909	51210
gene:AT1G01100	AT1G01100-202	protein_coding	1	50090	51108
gene:AT1G01100	AT1G01100-203	protein_coding	1	50090	51187
gene:AT1G01100	AT1G01100-204	protein_coding	1	50090	51197
gene:AT1G01110	IQD18-201	protein_coding	1	51953	54737
gene:AT1G01110	IQD18-202	protein_coding	1	52061	54689
gene:AT1G01120	KCS1-201	protein_coding	1	57164	59215
gene:AT1G01130	AT1G01130-201	protein_coding	1	61905	63811
gene:AT1G01140	CIPK9-201	protein_coding	1	64166	67774
gene:AT1G01140	CIPK9-203	protein_coding	1	64167	67625
gene:AT1G01140	CIPK9-202	protein_coding	1	64167	67625
gene:AT1G01150	AT1G01150-201	protein_coding	1	69911	72138
gene:AT1G01150	AT1G01150-202	protein_coding	1	70035	72138
gene:AT1G01150	AT1G01150-203	protein_coding	1	70619	72138
gene:AT1G01160	GIF2-201	protein_coding	1	72339	74096
gene:AT1G01160	GIF2-202	protein_coding	1	72357	74096
gene:AT1G04007	AT1G04007-201	lncRNA	1	72646	73108
gene:AT1G01170	AT1G01170-201	protein_coding	1	73931	74731
gene:AT1G01170	AT1G01170-202	protein_coding	1	73931	74737
gene:AT1G04013	AT1G04013-201	lncRNA	1	74435	74683
gene:AT1G01180	AT1G01180-201	protein_coding	1	75390	76845
gene:AT1G01183	ath-MIR165a-201	miRNA	1	78927	79037
gene:AT1G01190	CYP78A8-201	protein_coding	1	82984	84864
gene:AT1G01190	CYP78A8-202	protein_coding	1	83045	84946
gene:AT1G01200	RABA3-201	protein_coding	1	86486	88409
gene:AT1G01210	AT1G01210-201	protein_coding	1	88622	89745
gene:AT1G01210	AT1G01210-202	protein_coding	1	88883	90502
gene:AT1G01210	AT1G01210-203	protein_coding	1	88890	89745
gene:AT1G04017	AT1G04017-201	lncRNA	1	90169	90401
gene:AT1G01220	FKGP-203	protein_coding	1	91342	95681
gene:AT1G01220	FKGP-201	protein_coding	1	91342	95681
gene:AT1G01220	FKGP-202	protein_coding	1	91342	95681
gene:AT1G01220	FKGP-204	protein_coding	1	91342	95681
gene:AT1G04023	AT1G04023-201	lncRNA	1	91356	91685
gene:AT1G01220	FKGP-205	protein_coding	1	91376	95674
gene:AT1G01220	FKGP-206	protein_coding	1	91376	95676
gene:AT1G01220	FKGP-207	protein_coding	1	91642	95674
gene:AT1G01220	FKGP-208	protein_coding	1	91692	95681
gene:AT1G01225	AT1G01225-201	protein_coding	1	95935	97407
gene:AT1G01230	AT1G01230-201	protein_coding	1	97412	99240
gene:AT1G01240	AT1G01240-201	protein_coding	1	99865	101840
gene:AT1G01240	AT1G01240-203	protein_coding	1	99866	101987
gene:AT1G01240	AT1G01240-204	protein_coding	1	99866	101987
gene:AT1G01240	AT1G01240-202	protein_coding	1	99866	101987
gene:AT1G01240	AT1G01240-205	protein_coding	1	99872	101882
gene:AT1G01250	AT1G01250-201	protein_coding	1	104440	105330
gene:AT1G01260	AT1G01260-201	protein_coding	1	108946	111699
gene:AT1G01260	AT1G01260-202	protein_coding	1	108991	111699
gene:AT1G01260	AT1G01260-203	protein_coding	1	109076	111535
gene:AT1G01270	AT1G01270.1.exon1	tRNA	1	111890	111961
gene:AT1G01280	CYP703A2-201	protein_coding	1	112263	113947
gene:AT1G01290	CNX3-201	protein_coding	1	114202	116407
gene:AT1G01290	CNX3-202	protein_coding	1	114202	116407
gene:AT1G01300	AT1G01300-201	protein_coding	1	116784	118845
gene:AT1G01305	AT1G01305-201	protein_coding	1	119381	119997
gene:AT1G01310	AT1G01310-201	protein_coding	1	120154	121130
gene:AT1G01320	AT1G01320-201	protein_coding	1	121067	130573
gene:AT1G01320	AT1G01320-202	protein_coding	1	121067	130577
gene:AT1G01320	AT1G01320-203	protein_coding	1	121124	130570
gene:AT1G01335	AT1G01335-201	protein_coding	1	130736	130858
gene:AT1G01340	CNGC10-201	protein_coding	1	132270	135924
gene:AT1G01340	CNGC10-202	protein_coding	1	132328	135322
gene:AT1G01350	AT1G01350-201	protein_coding	1	136090	138162
gene:AT1G01355	AT1G01355-201	protein_coding	1	138489	139671
gene:AT1G01355	AT1G01355-202	protein_coding	1	138513	139651
gene:AT1G01355	AT1G01355-203	protein_coding	1	138513	139680
gene:AT1G01360	RCAR1-201	protein_coding	1	141870	143261
gene:AT1G01370	HTR12-201	protein_coding	1	143489	146042
gene:AT1G01370	HTR12-202	protein_coding	1	143489	146042
gene:AT1G01370	HTR12-203	protein_coding	1	143489	146479
gene:AT1G01370	HTR12-204	protein_coding	1	143522	145676
gene:AT1G01380	ETC1-202	protein_coding	1	147043	148014
gene:AT1G01380	ETC1-201	protein_coding	1	147043	148014
gene:AT1G01380	ETC1-203	protein_coding	1	147153	147942
gene:AT1G01390	AT1G01390-201	protein_coding	1	148013	149848
gene:AT1G01390	AT1G01390-202	protein_coding	1	148018	149806
gene:AT1G01400	AT1G01400-201	protein_coding	1	150689	152210
gene:AT1G01410	PUM22-201	protein_coding	1	153113	154198
gene:AT1G01420	UGT72B3-201	protein_coding	1	154367	156178
gene:AT1G01420	UGT72B3-202	protein_coding	1	154492	156011
gene:AT1G01430	TBL25-201	protein_coding	1	156477	158823
gene:AT1G01440	AT1G01440-201	protein_coding	1	159628	162953
gene:AT1G01448	AT1G01448-201	lncRNA	1	163278	166353
gene:AT1G01448	AT1G01448-202	lncRNA	1	163278	166353
gene:AT1G01448	AT1G01448-203	lncRNA	1	163302	166307
gene:AT1G01450	AT1G01450-201	protein_coding	1	164105	165517
gene:AT1G01453	AT1G01453-201	protein_coding	1	166589	168088
gene:AT1G01453	AT1G01453-202	protein_coding	1	166618	167842
gene:AT1G01460	PIPK11-201	protein_coding	1	168559	171386
gene:AT1G01470	LEA14-201	protein_coding	1	171525	172948
gene:AT1G01480	ACS2-201	protein_coding	1	175706	178406
gene:AT1G01480	ACS2-202	protein_coding	1	176141	178400
gene:AT1G01490	AT1G01490-201	protein_coding	1	180017	182534
gene:AT1G01490	AT1G01490-202	protein_coding	1	180018	182497
