Gene	Name	Type	Chr	Strand	Start	End
ENSG00000279928	DDX11L17	unprocessed_pseudogene	1	+	182696	184174
ENSG00000228037	ENSG00000228037	lncRNA	1	+	2581560	2584533
ENSG00000142611	PRDM16	protein_coding	1	+	3069168	3438621
ENSG00000284616	ENSG00000284616	lncRNA	1	-	5301928	5307394
ENSG00000157911	PEX10	protein_coding	1	-	2403964	2413797
ENSG00000260972	ENSG00000260972	lncRNA	1	+	5492978	5494674
ENSG00000224340	RPL21P21	processed_pseudogene	1	-	10054445	10054781
ENSG00000226374	LINC01345	lncRNA	1	-	3944547	3949024
ENSG00000229280	EEF1DP6	processed_pseudogene	1	-	4175528	4175899
ENSG00000142655	PEX14	protein_coding	1	+	10472288	10630758
ENSG00000232596	LINC01646	lncRNA	1	+	4571481	4594016
ENSG00000235054	LINC01777	lncRNA	1	+	4412027	4424689
ENSG00000231510	LINC02782	lncRNA	1	-	5086459	5090899
ENSG00000149527	PLCH2	protein_coding	1	+	2425980	2505532
ENSG00000284739	ENSG00000284739	lncRNA	1	-	4963954	4973298
ENSG00000171621	SPSB1	protein_coding	1	+	9292894	9369532
ENSG00000272235	ENSG00000272235	lncRNA	1	-	3306636	3310096
ENSG00000284694	ENSG00000284694	lncRNA	1	-	4479131	4484375
ENSG00000224387	ENSG00000224387	lncRNA	1	-	2492300	2493258
ENSG00000142583	SLC2A5	protein_coding	1	-	9035106	9088478
ENSG00000284674	LINC02781	lncRNA	1	+	4973381	4981568
ENSG00000224338	MTCYBP45	processed_pseudogene	1	-	11425257	11425821
ENSG00000287727	ENSG00000287727	lncRNA	1	-	10612222	10616452
ENSG00000286448	ENSG00000286448	lncRNA	1	+	266855	268655
ENSG00000284703	ENSG00000284703	lncRNA	1	-	4012921	4019508
ENSG00000226457	RPL22P3	processed_pseudogene	1	-	16369150	16369530
ENSG00000173614	NMNAT1	protein_coding	1	+	9943428	9985501
ENSG00000215720	MFFP1	processed_pseudogene	1	-	15191828	15192845
ENSG00000241326	ENSG00000241326	lncRNA	1	+	9983141	9984568
ENSG00000233623	PGAM1P11	processed_pseudogene	1	+	10058671	10059648
ENSG00000204624	DISP3	protein_coding	1	+	11479155	11537551
