Gene	Name	Type	Chr	Start	End
gene:Solyc01g005000.3	gene:Solyc01g005000.3	protein_coding	1	12923	15102
gene:Solyc01g005010.3	gene:Solyc01g005010.3	protein_coding	1	23062	26037
gene:Solyc01g005020.3	gene:Solyc01g005020.3	protein_coding	1	30380	44130
gene:Solyc01g005030.3	gene:Solyc01g005030.3	protein_coding	1	46062	61589
gene:Solyc01g005060.3	gene:Solyc01g005060.3	protein_coding	1	58677	61589
gene:Solyc01g005070.3	gene:Solyc01g005070.3	protein_coding	1	65647	66843
gene:Solyc01g005080.3	gene:Solyc01g005080.3	protein_coding	1	67817	73169
gene:Solyc01g005090.3	gene:Solyc01g005090.3	protein_coding	1	82582	89176
gene:Solyc01g005100.3	gene:Solyc01g005100.3	protein_coding	1	91751	97452
gene:Solyc01g005110.3	gene:Solyc01g005110.3	protein_coding	1	99356	103282
gene:Solyc01g005120.3	gene:Solyc01g005120.3	protein_coding	1	104207	107325
gene:Solyc01g005130.2	gene:Solyc01g005130.2	protein_coding	1	124770	125794
gene:Solyc01g005140.3	gene:Solyc01g005140.3	protein_coding	1	127074	134213
gene:Solyc01g005160.3	gene:Solyc01g005160.3	protein_coding	1	137971	139251
gene:Solyc01g005170.2	gene:Solyc01g005170.2	protein_coding	1	141246	144909
gene:Solyc01g005180.1	gene:Solyc01g005180.1	protein_coding	1	147450	147725
gene:Solyc01g005200.2	gene:Solyc01g005200.2	protein_coding	1	151495	157572
gene:Solyc01g005210.3	gene:Solyc01g005210.3	protein_coding	1	165332	169318
gene:Solyc01g005220.3	gene:Solyc01g005220.3	protein_coding	1	173567	180781
gene:Solyc01g005230.3	gene:Solyc01g005230.3	protein_coding	1	181577	182840
gene:Solyc01g005240.3	gene:Solyc01g005240.3	protein_coding	1	185555	191705
gene:Solyc01g005250.3	gene:Solyc01g005250.3	protein_coding	1	191358	195082
gene:Solyc01g005260.3	gene:Solyc01g005260.3	protein_coding	1	195626	199193
gene:Solyc01g005270.3	gene:Solyc01g005270.3	protein_coding	1	199928	203236
gene:Solyc01g005280.3	gene:Solyc01g005280.3	protein_coding	1	204872	207266
gene:Solyc01g005290.3	gene:Solyc01g005290.3	protein_coding	1	209137	209394
gene:Solyc01g005295.1	gene:Solyc01g005295.1	protein_coding	1	210837	211044
gene:Solyc01g005300.3	gene:Solyc01g005300.3	protein_coding	1	216877	220489
gene:Solyc01g005305.1	gene:Solyc01g005305.1	protein_coding	1	218549	220138
gene:Solyc01g005310.3	gene:Solyc01g005310.3	protein_coding	1	220560	237031
gene:Solyc01g005340.3	gene:Solyc01g005340.3	protein_coding	1	240684	249595
gene:Solyc01g005360.3	gene:Solyc01g005360.3	protein_coding	1	257332	258836
gene:Solyc01g005370.3	gene:Solyc01g005370.3	protein_coding	1	259884	260402
gene:Solyc01g005380.2	gene:Solyc01g005380.2	nontranslating_CDS	1	261021	265616
gene:Solyc01g005385.1	gene:Solyc01g005385.1	protein_coding	1	261136	265411
gene:Solyc01g005390.3	gene:Solyc01g005390.3	protein_coding	1	276028	278025
gene:Solyc01g005400.3	gene:Solyc01g005400.3	protein_coding	1	279104	283739
gene:Solyc01g005410.3	gene:Solyc01g005410.3	protein_coding	1	286693	290153
gene:Solyc01g005420.2	gene:Solyc01g005420.2	protein_coding	1	293554	294380
