Gene	Name	Type	Chr	Strand	Start	End
ENSMUSG00000104478	Gm38212	TEC	1	+	108344807	108347562
ENSMUSG00000104385	Gm7449	processed_pseudogene	1	+	6980784	6981446
ENSMUSG00000101231	Gm28283	processed_pseudogene	1	-	108540067	108540244
ENSMUSG00000102135	Gm37108	processed_pseudogene	1	+	6986783	6993812
ENSMUSG00000103282	Gm37275	processed_pseudogene	1	+	6999983	7000012
ENSMUSG00000101097	Gm6679	processed_pseudogene	1	+	108697865	108699733
ENSMUSG00000100764	Gm29155	lncRNA	1	-	43781121	43783055
ENSMUSG00000102534	Gm37225	processed_pseudogene	1	+	7068441	7068765
ENSMUSG00000100831	Gm17847	processed_pseudogene	1	-	108925364	108926490
ENSMUSG00000100884	Gm28281	processed_pseudogene	1	-	109502673	109502859
ENSMUSG00000100635	Gm29157	lncRNA	1	+	43782075	43782686
ENSMUSG00000102213	Gm37489	processed_pseudogene	1	+	7083986	7084144
ENSMUSG00000100480	Gm29156	lncRNA	1	-	43784944	43785442
ENSMUSG00000089037	Gm22159	snoRNA	1	-	109550738	109550867
ENSMUSG00000103629	Gm5694	processed_pseudogene	1	+	7106139	7107441
ENSMUSG00002076531	Gm54681	misc_RNA	1	+	109732490	109732774
ENSMUSG00000100025	Gm8141	processed_pseudogene	1	+	109760754	109762476
ENSMUSG00000051285	Pcmtd1	protein_coding	1	+	7159144	7243852
ENSMUSG00000098201	Gm26983	processed_pseudogene	1	-	7206423	7206810
ENSMUSG00000103509	Gm38372	TEC	1	+	7218334	7222361
ENSMUSG00000048538	Gm9826	processed_pseudogene	1	+	7247963	7249261
ENSMUSG00000103709	Nras-ps2	processed_pseudogene	1	-	7259966	7260143
ENSMUSG00000077244	Gm23274	snoRNA	1	+	7336027	7336156
ENSMUSG00000102768	Gm19002	processed_pseudogene	1	+	7385675	7386686
ENSMUSG00000097797	Gm26901	lncRNA	1	-	7419630	7468093
ENSMUSG00000103498	Gm18984	processed_pseudogene	1	+	7480903	7482217
ENSMUSG00000103067	Gm30414	lncRNA	1	+	7568192	7588373
ENSMUSG00000102320	Gm37791	processed_pseudogene	1	+	7661870	7662155
ENSMUSG00000104226	Gm7470	processed_pseudogene	1	+	7667603	7669697
ENSMUSG00000103903	Rps2-ps2	processed_pseudogene	1	+	7734305	7735185
ENSMUSG00000103557	Gm38216	processed_pseudogene	1	-	7799085	7800789
ENSMUSG00000026312	Cdh7	protein_coding	1	+	109910161	110067887
ENSMUSG00000100290	Gm18552	processed_pseudogene	1	-	110338473	110339010
ENSMUSG00000100758	Gm3332	processed_pseudogene	1	+	110403333	110404260
ENSMUSG00000099926	Gm6693	processed_pseudogene	1	+	110527751	110528563
ENSMUSG00000039748	Exo1	protein_coding	1	+	175708147	175741055
ENSMUSG00000118715	Gm23805	snRNA	1	+	175732111	175732217
ENSMUSG00000104158	Becn2	protein_coding	1	+	175747895	175749791
ENSMUSG00000103540	Gm37668	TEC	1	-	175783021	175784964
ENSMUSG00000057363	Uxs1	protein_coding	1	-	43786126	43866960
ENSMUSG00000047216	Cdh19	protein_coding	1	-	110816056	110905314
ENSMUSG00000102788	Gm38255	TEC	1	-	110885561	110888556
ENSMUSG00000102160	Gm36944	TEC	1	-	110892409	110895167
ENSMUSG00000101253	Gm29088	lncRNA	1	-	111313420	111374375
ENSMUSG00000101846	Gm19927	processed_pseudogene	1	+	111313648	111314428
ENSMUSG00000090243	Gm16103	processed_pseudogene	1	+	43825070	43826348
ENSMUSG00000100701	Gm19587	processed_pseudogene	1	+	43927211	43927755
ENSMUSG00000100555	Gm8173	processed_pseudogene	1	-	111732664	111735505
ENSMUSG00000101395	Gm8241	processed_pseudogene	1	+	43937454	43938269
ENSMUSG00000102728	Gm37934	TEC	1	+	111761553	111761954
ENSMUSG00000088848	Gm26352	snoRNA	1	+	43942088	43942212
ENSMUSG00002075225	Gm54687	miRNA	1	-	43957937	43958046
ENSMUSG00000038702	Dsel	protein_coding	1	-	111786432	111792648
ENSMUSG00000101875	Gm6028	processed_pseudogene	1	-	111808465	111809038
ENSMUSG00000099732	Gm17752	processed_pseudogene	1	-	111977166	111984840
ENSMUSG00000101220	Gm6717	processed_pseudogene	1	+	112065598	112066435
ENSMUSG00000100020	Gm19086	processed_pseudogene	1	+	112078819	112079483
