Gene	Name	Type	Chr	Strand	Start	End
ENSG05220038328	ENSG05220038328	lncRNA	1	+	83630598	83641779
ENSG05220038329	PTGES3P1	processed_pseudogene	1	-	88947638	88948120
ENSG05220038330	ENSG05220038330	TEC	1	-	87648519	87651605
ENSG05220038331	SSX2IP	protein_coding	1	-	84484101	84531204
ENSG05220038332	RNA5SP52	rRNA_pseudogene	1	-	87296455	87296588
ENSG05220038333	LINC01140	lncRNA	1	+	86972495	87011915
ENSG05220038334	KYAT3	protein_coding	1	-	88779167	88836350
ENSG05220038335	MCOLN2	protein_coding	1	-	84766210	84837744
ENSG05220038342	SNORD81	snoRNA	1	+	85433093	85433169
ENSG05220038350	ENSG05220038350	lncRNA	1	+	84626021	84627308
ENSG05220038352	RNA5SP51	rRNA_pseudogene	1	-	85724531	85724649
ENSG05220038353	PRKACB-DT	lncRNA	1	-	83916786	83918386
ENSG05220038354	LINC01725	lncRNA	1	-	83416086	83701370
ENSG05220038355	CLCA2	protein_coding	1	+	86264193	86296574
ENSG05220038357	MCOLN3	protein_coding	1	-	84858716	84889133
ENSG05220038358	C1orf52	protein_coding	1	-	85091053	85100791
ENSG05220038362	BCL10	protein_coding	1	-	85106896	85117748
ENSG05220038367	ENSG05220038367	lncRNA	1	+	85117504	85288936
ENSG05220038369	ENSG05220038369	lncRNA	1	+	85439946	85441549
ENSG05220038370	CDCA4P2	processed_pseudogene	1	-	86392666	86393383
ENSG05220038372	RPL36AP10	processed_pseudogene	1	+	88421373	88421694
ENSG05220038373	ENSG05220038373	processed_pseudogene	1	-	84476558	84477506
ENSG05220038374	ENSG05220038374	lncRNA	1	+	84447474	84451072
ENSG05220038376	SAMD13	protein_coding	1	+	84138830	84230423
ENSG05220038377	ENSG05220038377	lncRNA	1	+	84317422	84319540
ENSG05220038378	CCN1	protein_coding	1	+	85421570	85425398
ENSG05220038380	DNASE2B	protein_coding	1	+	84238948	84255454
ENSG05220038385	ENSG05220038385	lncRNA	1	-	83237848	83265662
ENSG05220038391	HS2ST1	protein_coding	1	+	86755193	86952707
ENSG05220038398	LPAR3	protein_coding	1	-	84652193	84733814
ENSG05220038399	MIR7856	miRNA	1	-	86197661	86197716
ENSG05220038400	LINC01364	lncRNA	1	-	87196223	87214389
ENSG05220038403	LINC01712	lncRNA	1	+	83286277	83320338
ENSG05220038408	GBP2	protein_coding	1	-	88949485	88993826
ENSG05220038410	ZNHIT6	protein_coding	1	-	85490231	85549278
